layer,expert_id,tokens
blocks.0.ff_or_moe,0,"that, first, final, down, te, to, B, after, only, """
blocks.0.ff_or_moe,1,"Green, high, here, oral, paper, ara, m, h, aly, bio"
blocks.0.ff_or_moe,2,"R, C, X, B, N, ill, del, cast, Cor, Ant"
blocks.0.ff_or_moe,3,"prior, deal, give, The, w, religious, rom, Force, art, ism"
blocks.0.ff_or_moe,4,"5, una, 4, Cal, Man, north, reconcile, Ka, assigned, Up"
blocks.0.ff_or_moe,5,"7, Bart, early, Red, 9, 6, Six, Fox, Lions, 4"
blocks.0.ff_or_moe,6,"who, that, on, when, from, by, ir, at, immediately, ("
blocks.0.ff_or_moe,7,"growing, S, P, Inter, ., can, using, The, traveling, Mo"
blocks.0.ff_or_moe,8,"College, concept, Flying, clo, shoot, Army, rotating, army, asters, mn"
blocks.0.ff_or_moe,9,"rad, ski, ground, Sci, focusing, always, Latin, individual, sometimes, opportunity"
blocks.0.ff_or_moe,10,"pay, amp, against, comprising, bridge, inside, et, Act, Point, force"
blocks.0.ff_or_moe,11,"c, Ex, under, D, Pre, pre, pay, or, original, before"
blocks.0.ff_or_moe,12,"middle, port, International, former, emerged, den, well, Col, yn, Cape"
blocks.0.ff_or_moe,13,"likely, should, full, must, like, despite, have, ain, Civil, experienced"
blocks.0.ff_or_moe,14,"un, Jar, fan, replacing, ji, avoid, ser, international, keeping, making"
blocks.0.ff_or_moe,15,"going, Go, Saturday, boy, competition, Ak, om, Live, ability, Has"
blocks.0.ff_or_moe,16,"English, common, which, T, Sel, the, North, Guy, before, when"
blocks.0.ff_or_moe,17,"lose, whether, avoid, transition, though, House, living, face, standing, did"
blocks.0.ff_or_moe,18,"im, works, O, will, Ay, threatened, li, ca, target, year"
blocks.0.ff_or_moe,19,"doing, am, ho, failure, lasting, Croatian, becoming, ita, nu, 2002"
blocks.0.ff_or_moe,20,"predecessor, solution, minor, Office, safety, ond, rest, red, conference, known"
blocks.0.ff_or_moe,21,"network, body, began, begun, injury, however, justified, extra, therefore, Victorian"
blocks.0.ff_or_moe,22,"mo, field, ille, recorded, Ab, Young, early, production, mid, mand"
blocks.0.ff_or_moe,23,"overall, med, spent, primary, coastal, encounter, lie, ose, marine, lack"
blocks.0.ff_or_moe,24,"work, still, of, such, other, early, break, high, fl, film"
blocks.0.ff_or_moe,25,"b, initially, 30, n, [PAD], o, was, originally, 50, mal"
blocks.0.ff_or_moe,26,"close, full, be, nearly, field, del, the, ina, ram, two"
blocks.0.ff_or_moe,27,"ars, Jordan, orn, steam, tank, Br, bodies, con, semin, iner"
blocks.0.ff_or_moe,28,""", a, f, h, some, Se, ., P, more, :"
blocks.0.ff_or_moe,29,"November, April, December, ically, June, count, October, May, shortly, otherwise"
blocks.0.ff_or_moe,30,"while, Japanese, related, few, elderly, 8, br, three, speaking, containing"
blocks.0.ff_or_moe,31,"sympath, Eastern, Management, Starting, children, main, Front, employees, Ve, Farm"
blocks.0.ff_or_moe,32,"San, ink, withstand, despite, pieces, été, Buccaneers, Dog, onica, Sem"
blocks.0.ff_or_moe,33,"Post, career, City, Im, due, via, By, apart, might, Machine"
blocks.0.ff_or_moe,34,"reference, about, highway, Ch, hosts, Standing, territory, films, roadway, intersecting"
blocks.0.ff_or_moe,35,"Eddy, relatively, principle, England, speed, pool, every, too, alone, bound"
blocks.0.ff_or_moe,36,"mon, Bo, comm, his, being, some, the, making, against, military"
blocks.0.ff_or_moe,37,"O, And, early, Ad, first, later, then, Per, May, '"
blocks.0.ff_or_moe,38,"De, than, American, 12, or, Super, still, Red, for, are"
blocks.0.ff_or_moe,39,"single, record, quick, modest, relationship, incen, enemy, ild, astic, European"
blocks.0.ff_or_moe,40,"rap, attempts, rule, imp, suggestion, seas, pace, crease, Alabama, records"
blocks.0.ff_or_moe,41,"Ma, Bon, –, made, gained, El, 65, Berry, 68, receiving"
blocks.0.ff_or_moe,42,"though, however, problem, Att, gate, say, 00, occurred, happened, although"
blocks.0.ff_or_moe,43,"visits, past, getting, close, rain, weeks, case, revealed, access, home"
blocks.0.ff_or_moe,44,"simultaneously, v, ly, vic, well, also, re, already, worked, values"
