layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.0986,0.3609,"', ’, who, had, over, his, at, which, on, all, he, too, as, either, her, could, almost, having, only, other"
blocks.0.ff_or_moe,1,0.3894,0.4132,"song, music, track, pop, songs, lyrics, rock, hop, composition, tracks, ballad, bass, band, singer, singing, guitar, dance, cover, lyric, folk"
blocks.0.ff_or_moe,2,0.0948,0.3847,"his, ran, him, he, her, very, after, their, its, an, himself, the, a, His, more, later, by, United, late, four"
blocks.0.ff_or_moe,3,0.2927,0.4288,"The, This, A, It, One, An, Both, Its, These, There, They, Her, Some, Another, In, Each, Two, At, After, Their"
blocks.0.ff_or_moe,4,0.2880,0.4270,"the, to, and, ,, of, on, in, by, but, his, at, with, after, during, from, as, had, were, while, which"
blocks.0.ff_or_moe,5,0.4232,0.3348,"z, Act, Minister, Republic, President, historian, Party, itor, General, Service, Member, code, Secretary, million, billion, Chairman, Senator, president, minister, ctor"
blocks.0.ff_or_moe,6,0.3348,0.3522,"Di, Sch, Ray, David, Paul, Bob, George, James, Peter, LA, Win, Robert, Bros, Phil, Richard, Martin, Simon, Bill, Sam, Frank"
blocks.0.ff_or_moe,7,0.2265,0.4170,"also, further, and, but, to, which, ,, in, on, while, by, later, (, with, as, has, "", of, more, first"
blocks.0.ff_or_moe,8,0.0965,0.3495,"hel, former, fellow, new, he, other, given, later, his, while, non, previous, sub, co, old, future, using, earlier, multiple, so"
blocks.0.ff_or_moe,9,0.2804,0.4548,"but, because, although, ."", rather, yet, ""., though, unless, ;, "";, simply, ""[, °., instead, "",, except, therefore, ,"", [PAD]"
blocks.0.ff_or_moe,10,0.3544,0.4389,"in, on, at, to, from, of, by, with, for, as, during, and, was, ., a, within, after, ,, the, it"
blocks.0.ff_or_moe,11,0.3260,0.4430,",, but, when, from, by, and, to, while, for, with, during, as, of, after, in, at, ;, that, on, which"
blocks.0.ff_or_moe,12,0.2243,0.2948,"w, id, st, sh, ol, sn, ar, lo, li, und, ne, ev, mar, ut, mat, oc, ent, br, responsible, ah"
blocks.0.ff_or_moe,13,0.2543,0.3167,"main, special, general, album, musical, visual, vocal, primary, commercial, initial, official, major, original, limited, personal, physical, adult, technical, legal, public"
blocks.0.ff_or_moe,14,0.2874,0.4132,""", in, the, to, a, ', of, at, ,, only, one, had, for, was, as, by, her, an, ., "","
blocks.0.ff_or_moe,15,0.5190,0.2669,"Nim, located, situated, Interstate, crossing, passing, parallel, AADT, tributary, cross, operated, adjacent, JMA, concurrent, Northumbria, paralleling, moving, dirt, truck, Aleppo"
blocks.0.ff_or_moe,16,0.1401,0.3846,"closer, to, against, them, during, with, towards, on, by, are, from, in, between, at, into, as, it, four, his, six"
blocks.0.ff_or_moe,17,0.1510,0.4279,"s, his, he, her, its, it, other, their, the, re, more, this, an, His, a, one, later, she, over, most"
blocks.0.ff_or_moe,18,0.4068,0.3437,"south, north, west, east, stand, ground, southeast, southwest, northwest, northeast, Saffir, Road, gate, crossing, Representatives, block, square, front, streets, Boulevard"
blocks.0.ff_or_moe,19,0.8020,0.2521,"agr, ckin, noct, issu, psil, usur, な, sud, た, ا, percus, Tarant, caud, publ, Bav, cau, י, osex, س, catap"
blocks.0.ff_or_moe,20,0.1909,0.4146,"previous, several, three, two, other, their, both, four, five, these, many, six, subsequent, further, various, this, some, seven, earlier, each"
blocks.0.ff_or_moe,21,0.3507,0.4497,"in, on, at, by, to, from, for, of, during, with, as, and, ,, within, ., over, after, -, ', is"
blocks.0.ff_or_moe,22,0.2565,0.3941,"The, In, A, On, One, All, It, As, Two, An, This, These, He, After, At, Some, Three, When, Both, Four"
blocks.0.ff_or_moe,23,0.2800,0.4277,"the, to, of, his, from, after, and, as, ,, by, were, with, while, that, for, this, these, at, on, in"
blocks.0.ff_or_moe,24,0.3477,0.3104,"ank, City, Bay, State, Sea, coast, Army, ern, Kingdom, Prince, Land, Cong, Mess, Pass, Hill, Port, Town, Gate, Low, Temple"
blocks.0.ff_or_moe,25,0.1071,0.3900,"Stephen, him, his, himself, he, her, it, she, which, Anthony, who, into, one, its, herself, Henry, up, itself, He, north"
blocks.0.ff_or_moe,26,0.1035,0.3044,"-, re, right, che, de, be, al, hand, left, un, g, b, co, can, go, sub, e, man, ke, ad"
blocks.0.ff_or_moe,27,0.3100,0.3588,"recorded, won, held, released, described, lost, introduced, reported, announced, published, established, issued, completed, saw, opened, moved, accepted, collected, finished, observed"
blocks.0.ff_or_moe,28,0.3222,0.2448,"op, Tim, com, fer, el, closely, net, co, Thous, amen, acc, ill, ep, org, unders, oty, cons, cop, frequently, widely"
blocks.0.ff_or_moe,29,0.3164,0.4427,",, and, to, but, by, of, as, ;, –, at, when, with, for, while, ., during, in, from, he, that"
blocks.0.ff_or_moe,30,0.3463,0.3464,"Me, spent, considered, %,, gave, described, received, spending, seen, included, showed, spend, giving, describing, earned, awarded, given, praised, assigns, featured"
blocks.0.ff_or_moe,31,0.3399,0.4362,",, and, to, but, of, by, from, on, for, with, in, ;, at, as, that, during, he, (, when, was"
blocks.0.ff_or_moe,32,0.2779,0.4120,"top, a, to, at, the, on, and, as, an, in, four, he, one, by, over, of, ,, with, A, first"
blocks.0.ff_or_moe,33,0.4224,0.3085,"ins, ion, les, bers, ions, ents, ios, als, ids, ors, ars, els, aries, ets, ens, ats, ides, pers, ities, ocks"
blocks.0.ff_or_moe,34,0.3450,0.4401,",, and, but, by, when, to, as, during, with, on, in, ;, for, from, of, was, while, that, ., at"
blocks.0.ff_or_moe,35,0.1600,0.3312,"f, g, b, c, e, p, h, le, k, bo, ch, mo, ap, am, n, d, ter, se, un, t"
blocks.0.ff_or_moe,36,0.6620,0.2473,"giant, gene, dys, tic, zoo, fishes, bacteria, surgeon, disease, genetics, physicist, isotopes, lemurs, physician, Laboratory, opods, atoms, idae, moths, osaurids"
blocks.0.ff_or_moe,37,0.5817,0.2535,"PC, PlayStation, Street, CD, DS, Motors, hima, anime, Link, GS, Sega, Voyager, ichi, VA, TNA, redesigned, RPG, Airlines, TA, Enix"
blocks.0.ff_or_moe,38,0.2740,0.3657,"against, since, towards, alongside, using, toward, despite, during, through, leaving, upon, whose, according, past, via, behind, regarding, between, versus, entitled"
blocks.0.ff_or_moe,39,0.6185,0.2807,"conventional, cular, sive, atic, ical, graphic, ulative, ctive, ental, ial, ological, logical, graphical, biological, ulent, ive, rical, imental, ogical, ulous"
blocks.0.ff_or_moe,40,0.1229,0.3638,"South, gold, silver, North, green, New, blue, bronze, Gold, black, United, B, white, G, new, American, Southern, British, West, in"
blocks.0.ff_or_moe,41,0.2122,0.4060,"is, has, are, was, appears, begins, of, does, in, had, from, to, for, as, were, can, with, -, at, on"
