expert_id	score	category	type
E050	7	accompaniment_adverbs	syntactic
E051	3	proper_names	mixed
E052	8	speech_act_verbs	semantic
E053	8	evaluative_adjectives	semantic
E054	9	naval_military	semantic
E055	10	subject_pronouns	syntactic
E056	8	inclusion_verbs	semantic
E057	5	conjunctions/punctuation	mixed
E058	4	determiners/possessives	syntactic
E059	7	special_characters	syntactic
E060	10	single_letters	syntactic
E061	9	sentence_initial_prepositions	syntactic
E062	9	discourse_connectives	syntactic
E063	2	random_proper_nouns	mixed
E064	7	sentence_ending_punctuation	syntactic
E065	2	subword_fragments	mixed
E066	10	comma	syntactic
E067	2	subword_fragments	mixed
E068	10	concessive_conjunctions	syntactic
E069	9	military_operations	semantic
E070	3	capitalized_adjectives	mixed
E071	6	place_nouns	semantic
E072	8	brackets/punctuation	syntactic
E073	7	determiners/pronouns	syntactic
E074	8	indefinite_articles	syntactic
E075	6	definite_article	syntactic
E076	9	years/dates	semantic
E077	8	preposition_on	syntactic
E078	8	contractions	syntactic
E079	6	definite_article	syntactic
E080	6	past_participle_verbs	syntactic
E081	5	conflict/movement	mixed
E082	3	mixed_punctuation	mixed
E083	10	historical_years	semantic
E084	2	proper_names/fragments	mixed
E085	5	surnames	semantic
E086	8	punctuation	syntactic
E087	10	numbers	syntactic
E088	8	nationality_adjectives	semantic
E089	1	random	mixed
E090	5	function_words	syntactic
E091	2	name_prefixes	syntactic
E092	10	indefinite_articles	syntactic
E093	9	copula/being_verbs	syntactic
E094	4	mixed_nouns	mixed
E095	2	random	mixed
E096	8	ethnic/political_adjectives	semantic
E097	7	prefixes	syntactic
E098	1	random	mixed
E099	5	abstract_nouns	semantic
