expert_id	score	category	type
E000	6	pronouns/articles	syntactic
E001	9	military	semantic
E002	9	prepositions	syntactic
E003	6	verbs	syntactic
E004	8	conjunctions	syntactic
E005	9	naming/actions	semantic
E006	4	mixed/unclear	mixed
E007	10	punctuation	syntactic
E008	9	articles	syntactic
E009	6	action-verbs	mixed
E010	9	conjunctions	syntactic
E011	10	brackets/quotes	syntactic
E012	10	first-names	semantic
E013	7	political/ethnic	semantic
E014	10	punctuation	syntactic
E015	2	random	mixed
E016	4	general-nouns	mixed
E017	2	fragments	mixed
E018	8	government/politics	semantic
E019	9	wh-words	syntactic
E020	10	numbers/ordinals	syntactic
E021	3	mixed/unclear	mixed
E022	8	verb-endings	syntactic
E023	7	discourse-markers	syntactic
E024	3	mixed/unclear	mixed
E025	8	quantities	semantic
E026	7	subword-roots	syntactic
E027	9	counting-words	syntactic
E028	10	punctuation	syntactic
E029	7	boundaries/extent	semantic
E030	2	fragments	mixed
E031	8	determiners	syntactic
E032	2	random	mixed
E033	3	mixed/unclear	mixed
E034	9	suffixes	syntactic
E035	7	plural-nouns	syntactic
E036	7	proper-names	semantic
E037	9	prepositions	syntactic
E038	8	determiners/pronouns	syntactic
E039	7	function-words	syntactic
E040	8	approximation/direction	semantic
E041	7	participles	syntactic
E042	8	place-names	semantic
E043	6	subword-roots	syntactic
E044	6	proper-names	semantic
E045	8	prepositions	syntactic
E046	8	countries/regions	semantic
E047	8	prepositions	syntactic
E048	9	pronouns/determiners	syntactic
E049	2	random	mixed
E050	7	auxiliary-verbs	syntactic
E051	8	size/quantity	semantic
E052	8	degree-adverbs	semantic
E053	2	random	mixed
E054	3	mixed/unclear	mixed
E055	2	fragments	mixed
E056	3	mixed/unclear	mixed
E057	6	descriptive-adjectives	semantic
E058	10	personal-pronouns	syntactic
E059	7	action-verbs	semantic
E060	10	numbers	syntactic
E061	10	sentence-punctuation	syntactic
E062	9	verb-suffixes	syntactic
E063	7	verbs	semantic
E064	9	conjunctions	syntactic
E065	7	determiners	syntactic
E066	5	discourse-forms	mixed
E067	7	abstract-nouns	semantic
E068	6	participles	mixed
E069	9	particles/direction	syntactic
E070	8	prepositions	syntactic
E071	8	prepositions	syntactic
E072	6	media/proper-names	semantic
E073	5	capitalized-fragments	syntactic
E074	9	punctuation/connective	syntactic
E075	7	institutional-adjectives	semantic
E076	9	discourse-connectives	syntactic
E077	9	number-words	syntactic
E078	8	nationalities	semantic
E079	9	american-football	semantic
E080	3	fragments	syntactic
E081	3	fragments	syntactic
E082	6	discourse-temporal	mixed
E083	6	places/features	semantic
E084	9	pronouns	syntactic
E085	9	person-roles	semantic
E086	7	proper-names	semantic
E087	3	mixed/unclear	mixed
E088	7	articles/determiners	syntactic
E089	6	people-groups	semantic
E090	8	composition-verbs	semantic
E091	9	demographics	semantic
E092	5	mixed-descriptors	mixed
E093	9	symbolic-connectors	syntactic
E094	9	prepositions	syntactic
E095	6	determiners	syntactic
E096	9	spatial-prepositions	syntactic
E097	3	fragments	mixed
E098	10	years/numbers	syntactic
E099	10	punctuation	syntactic
