expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,58159,968,consisted(1.89); none(1.89); hundreds(1.89); portions(1.89); reminiscent(1.89); extent(1.89); moments(1.89); persons(1.89); amounts(1.89); anybody(1.89); thousands(1.89); consisting(1.89); deaths(1.89); anything(1.89); anywhere(1.89); those(1.89); [PAD](1.89); someone(1.70); anyone(1.63); %(1.60); parts(1.57); ones(1.57); onies(1.57); veterans(1.47); households(1.47); 232(1.47); number(1.47); pair(1.43); Also(1.43); scenes(1.42); remainder(1.40); victims(1.40); elements(1.36); terms(1.35); aims(1.30); individuals(1.30); couple(1.30); sections(1.30); members(1.27); things(1.24); allegations(1.21); children(1.19); residents(1.19); people(1.15); amount(1.15); olds(1.15); prisoners(1.15); 900(1.15); Much(1.15); reports(1.11),96.2,0.468,,,,8,quantifiers/amounts,semantic,5,quantity nouns,mixed,4,quantifiers/plural nouns,mixed
E001,2317,559,"""[(6.54); [(6.54); Where(6.46); want(6.24); What(6.22); think(6.07); And(6.05); didn(5.95); Like(5.80); Just(5.80); If(5.80); till(5.80); know(5.76); got(5.69); Off(5.66); Through(5.63); like(5.62); love(5.54); But(5.45); give(5.28); don(5.25); ""...(5.22); speak(5.12); say(5.12); tell(5.12); doing(5.08); see(5.02); done(4.95); ...(4.90); toward(4.80); pay(4.80); kill(4.80); thought(4.76); things(4.66); watch(4.66); what(4.63); how(4.59); do(4.54); call(4.54); put(4.54); make(4.45); me(4.34); if(4.34); oo(4.28); help(4.22); does(4.22); fact(4.22); just(4.20); than(4.09); wanted(4.08)",16.1,5.070,,,,7,dialogue/emotional,semantic,6,dialogue words,syntactic,6,informal/colloquial verbs,semantic
E002,1184,71,distant(7.09); hard(6.51); The(5.17); eastern(4.09); its(4.03); the(3.90); an(1.90); their(1.86); this(1.57); a(1.13); s(0.67); -(0.52); of(-2.88),94.6,1.414,,,,4,determiners/adjectives,mixed,2,mixed/unclear,mixed,4,adjectives/determiners,mixed
E003,2967,313,"informing(6.18); prompting(6.18); tells(6.18); According(6.13); tell(5.99); Among(5.96); told(5.96); prompted(5.92); starring(5.77); echoed(5.77); telling(5.77); alongside(5.68); according(5.68); asked(5.50); accused(5.45); convinced(5.45); Like(5.45); criticized(5.38); "";(5.38); praised(5.26); among(5.23); rejected(5.18); Under(5.18); invited(5.18); cited(5.01); warned(4.96); by(4.94); honor(4.92); despite(4.86); met(4.86); join(4.77); bing(4.77); With(4.69); leading(4.60); what(4.60); though(4.47); impressed(4.45); featuring(4.45); accompanied(4.45); producer(4.45); For(4.38); ,""(4.35); led(4.30); Both(4.28); following(4.26); described(4.22); because(4.12); with(4.12); including(4.00); Through(3.86)",31.5,3.804,,,,9,reporting/attribution,semantic,7,reporting verbs,semantic,6,attribution/alongside,syntactic
E004,3881,90,"might(5.33); would(5.31); will(5.21); could(5.17); but(5.07); And(4.99); To(4.97); should(4.93); may(4.93); cannot(4.79); and(4.78); while(4.69); can(4.63); must(4.63); helped(4.63); to(4.23); yet(4.06); did(3.95); or(3.89); does(3.89); even(3.34); not(3.31); d(2.91); then(2.91); rather(2.86); than(2.86); t(2.72); although(2.36); began(2.32); also(1.73); They(1.68); so(1.40); ;(1.19); as(1.16); before(0.77); only(0.70); ""(-0.25); has(-0.26); was(-1.04); ,(-1.31); had(-1.61); is(-1.85); with(-1.98); that(-2.53); of(-4.60)",98.6,1.886,,,,10,modal verbs,syntactic,9,modals,syntactic,7,modal/auxiliary verbs,syntactic
E005,1886,94,"or(5.11); yet(5.10); relatively(5.07); largely(4.96); /(4.85); and(4.78); slightly(4.33); more(4.29); mostly(3.84); very(3.59); ly(3.33); ,(3.19); but(3.09); ),(3.05); than(2.58); most(2.12); New(2.06); ""(1.68); while(1.31); ;(1.23); is(0.93); ((0.90); to(0.73); –(0.72); -(0.62); an(0.58); with(-0.36); as(-0.50); of(-1.82); '(-1.94); the(-4.29)",95.8,1.873,,,,9,adverbs/conjunctions,syntactic,8,connectives/scope,syntactic,5,degree adverbs/comparison,syntactic
E006,4836,1258,Jo(5.48); Brit(5.48); mead(5.48); Tik(5.48); Ign(5.48); Lom(5.48); Kok(5.48); MacL(5.48); Zam(5.48); Kaw(5.48); Vand(5.48); Lah(5.48); Wigg(5.48); Col(5.48); Ad(5.48); Pr(5.48); Par(5.48); Mus(5.48); Gand(5.48); eyew(5.48); Jas(5.48); McN(5.48); Chak(5.48); Rut(5.48); Sch(5.48); Mal(5.48); Hol(5.48); Mor(5.48); Mac(5.48); Mil(5.48); Pal(5.48); Ke(5.48); ny(5.48); Fle(5.48); Ir(5.48); Bal(5.48); Cro(5.48); Mat(5.48); Ot(5.48); Lamb(5.48); Hind(5.48); Aqu(5.48); Shir(5.48); Cav(5.48); Hes(5.48); Mull(5.48); Butter(5.48); Cly(5.48); Sah(5.48); Miz(5.48),7.8,6.309,,,,10,name fragments,syntactic,8,name fragments,syntactic,2,capitalized prefixes,mixed
E007,1605,86,Dr(7.07); Tr(7.07); Gr(7.07); Br(7.07); Ch(7.07); St(7.07); L(7.05); H(7.04); P(6.96); N(6.96); Th(6.93); Kr(6.92); D(6.88); W(6.86); R(6.85); J(6.73); M(6.71); G(6.69); K(6.63); B(6.61); S(6.54); Sh(6.52); C(6.45); T(6.40); V(6.28); Cl(6.22); Be(6.22); F(5.93); Q(5.93); Ste(5.90); Mc(5.88); Bl(5.85); E(5.67); Y(5.65); McC(5.52); gr(5.48); c(5.19); Z(5.09); Mr(5.07); Bo(5.00); De(4.42); f(4.32); d(4.18); l(4.10); p(3.82); st(3.44); b(3.16); h(2.63); U(2.53); A(1.80),96.8,3.518,,,,10,initials/fragments,syntactic,10,initial clusters,syntactic,8,capital letters/initials,syntactic
E008,2166,379,"reclassified(6.64); Historian(6.64); CEO(6.64); USS(6.64); entitled(6.64); website(6.64); albums(6.64); HMS(6.64); titled(6.47); ″(6.44); renamed(6.37); cruiser(6.37); memoirs(6.31); According(6.29); HMAS(6.27); founded(6.27); editor(6.22); drama(6.05); frigate(5.96); destroyer(5.90); ür(5.90); firm(5.90); producer(5.90); signature(5.86); designated(5.76); Operation(5.76); intersects(5.74); (""(5.64); artist(5.64); programme(5.64); publication(5.64); 1st(5.52); 3rd(5.52); submarine(5.50); album(5.40); according(5.36); named(5.35); sequel(5.22); called(5.16); Admiral(5.05); frigates(5.05); newspaper(5.05); published(4.98); include(4.95); 2nd(4.87); &(4.76); novel(4.76); name(4.75); films(4.64); film(4.52)",16.5,4.385,,,,9,titles/identifiers,semantic,7,naming/titles,semantic,6,titled/named entities,mixed
E009,225,48,Robert(8.90); Best(8.90); champion(8.68); John(7.06); northern(6.06); ).(5.98); between(4.28); of(3.57); .(3.45); The(3.35); with(1.71); to(0.92); the(-0.22),80.0,2.770,,,,5,names/awards,mixed,3,mixed/unclear,mixed,3,mixed proper nouns,mixed
