expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic
E000,3169,1374,search(6.09); obscure(6.09); exaggerated(6.09); nude(6.09); restoring(6.09); stupid(6.09); headquartered(6.09); decorative(6.09); believable(6.09); patrolling(6.09); edible(6.09); undivided(6.09); grazing(6.09); living(6.09); private(6.09); aging(6.09); secret(6.09); royal(6.09); blank(6.09); democratic(6.09); wonderful(6.09); captive(6.09); rebuilding(6.09); torture(6.09); desperate(6.09); ruined(6.09); mined(6.09); structured(6.09); excavated(6.09); abandon(6.09); nearby(6.09); aware(6.09); sexual(6.09); engaging(6.09); acking(6.09); intact(6.09); repaired(6.09); boarding(6.09); shopping(6.09); protecting(6.09); fitting(6.09); hiding(6.09); elderly(6.09); controlling(6.09); pointing(6.09); disturbed(6.09); protective(6.09); deceased(6.09); fake(6.09); threatening(6.09),7.5,6.844,,,
E001,1367,26,your(7.30); Their(7.30); Its(7.30); my(7.30); His(7.30); their(7.30); her(7.30); his(7.29); its(7.25); our(7.16); Her(7.09); herself(5.43); My(4.72); him(4.06); s(0.73); '(-0.74),99.1,1.794,,,
E002,494,80,gives(8.77); make(8.77); gave(8.77); making(8.77); made(8.77); makes(8.77); giving(8.77); offers(8.18); give(8.18); reaching(7.35); got(7.18); reached(7.14); given(6.39); offered(6.18); brought(6.03); saw(5.96); did(5.63); put(5.55); had(5.27); led(5.21); became(4.28); being(4.14); up(4.02); took(3.80); him(3.72); have(3.35); before(3.33); only(3.26); has(2.71); one(2.35); as(1.66); )(1.65); was(1.59); in(1.00); with(0.99); for(0.62),88.9,3.312,,,
E003,1740,73,"whereas(6.95); ""),(6.95); "";(6.95); );(6.95); "")(6.95); except(6.95); but(6.95); ;(6.92); ,""(6.89); although(6.72); while(6.70); –(6.50); though(6.43); however(6.33); "",(6.00); yet(5.95); :(5.92); —(5.89); ),(5.81); )(5.38); However(5.29); because(5.01); once(4.89); until(4.88); according(4.86); But(4.86); instead(4.81); before(4.51); with(4.42); despite(4.22); According(4.14); including(3.64); since(3.31); then(3.14); than(2.11); only(1.85); ""(0.57); was(0.12); and(-2.12); ,(-3.47)",97.6,2.961,,,
E004,3980,89,beneath(5.76); amongst(5.76); Around(5.76); within(5.76); approximately(5.76); around(5.76); between(5.75); near(5.73); From(5.70); about(5.67); below(5.67); surrounding(5.66); outside(5.61); towards(5.55); throughout(5.52); over(5.52); toward(5.44); behind(5.42); At(5.42); against(5.38); at(5.35); involving(5.27); among(5.24); through(5.19); above(5.10); by(5.09); Between(5.02); during(4.99); with(4.94); across(4.72); Over(4.62); from(4.60); Within(4.54); With(4.50); roughly(4.34); inside(4.17); since(3.28); shortly(3.26); along(3.06); in(2.96); upon(2.88); For(2.63); for(2.61); using(2.26); back(1.89); During(1.85); By(1.44); after(1.42); to(1.35); under(1.29),97.1,3.018,,,
E005,3406,1146,author(5.98); critic(5.98); cult(5.98); slam(5.98); aguar(5.98); Census(5.98); asylum(5.98); logist(5.98); religions(5.98); duel(5.98); invalid(5.98); terrorism(5.98); guerrilla(5.98); humanitarian(5.98); Investigation(5.98); prison(5.98); writer(5.98); social(5.98); Holocaust(5.98); activist(5.98); captive(5.98); discrimination(5.98); nominee(5.98); wrestler(5.98); terrorist(5.98); DOT(5.98); eyew(5.98); embassy(5.98); assassin(5.98); affiliate(5.98); defendant(5.98); woman(5.98); media(5.98); cm(5.98); boy(5.98); massacre(5.98); jail(5.98); celebrity(5.98); receiver(5.98); AIDS(5.98); nationalist(5.98); genius(5.98); freshman(5.98); murders(5.98); ballot(5.98); ESPN(5.98); collective(5.98); prosecution(5.98); Historian(5.98); Democrat(5.98),7.3,6.424,,,
E006,364,59,neither(9.21); Both(9.21); both(9.21); either(9.21); all(8.91); [(8.84); respectively(8.47); each(7.18); those(6.36); 24(5.84); former(5.43); some(5.36); only(5.28); North(4.64); several(4.22); one(2.79); were(2.38),86.0,2.675,,,
E007,1952,18,your(6.79); their(6.67); s(6.57); its(6.51); his(5.82); Their(5.37); her(5.28); our(4.65); '(3.03); km(3.01); both(2.00); at(-1.04); in(-1.09); the(-1.88),99.7,1.575,,,
E008,2242,969,Emirates(6.59); sails(6.59); routines(6.59); bamboo(6.59); rifles(6.59); Churches(6.59); stumps(6.59); palaces(6.59); rabbits(6.59); envoys(6.59); Regiments(6.59); spikes(6.59); edgehog(6.59); grenades(6.59); animations(6.59); barges(6.59); logs(6.59); Rules(6.59); offerings(6.59); masks(6.59); railroads(6.59); Vikings(6.59); Rifles(6.59); beams(6.59); Mongols(6.59); docks(6.59); Holocaust(6.59); buses(6.59); commercials(6.59); Motors(6.59); Streets(6.59); blade(6.59); spray(6.59); springs(6.59); killings(6.59); rones(6.59); chains(6.59); Waters(6.59); rings(6.59); tickets(6.59); drugs(6.59); bones(6.59); m2(6.59); hills(6.59); prints(6.59); temples(6.59); boxes(6.59); Dynasty(6.59); cage(6.59); trenches(6.59),11.1,6.420,,,
E009,3368,16,the(4.39); this(3.79); same(3.38); a(2.86); an(2.66); one(1.45); his(0.22); its(-0.42),99.7,0.545,,,
