layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.2400,0.2789,"Man, was, were, He, Daniel, Despite, rapid, gave, Strong, greatest, learning, long, deemed, Crazy, mim, David, culminated, would, had, joked"
blocks.0.ff_or_moe,1,0.2834,0.2581,"ant, v, Queen, Mass, inter, est, National, ti, being, al, Line, Eu, Bus, pun, narrow, assembly, steel, MD, troop, ital"
blocks.0.ff_or_moe,2,0.3135,0.2646,"id, star, or, ),, stars, breeding, ids, lia, Snake, dimensional, shear, ), let, triggered, lish, and, favorable, aean, worker, thereby"
blocks.0.ff_or_moe,3,0.3033,0.2665,"M, Cl, became, Sa, when, metal, Ap, included, arch, Gh, semi, Var, collected, NO, wrote, States, Pil, ita, credited, Mann"
blocks.0.ff_or_moe,4,0.2985,0.2592,"on, k, Ver, ton, ard, fer, used, worked, ick, again, alternate, Corps, cos, ux, vor, ou, Antonio, rick, Johns, oting"
blocks.0.ff_or_moe,5,0.3355,0.3027,"L, II, match, received, computer, orders, Book, fight, Well, ec, III, exposed, joining, Division, responsible, dies, prison, difficult, Girl, plays"
blocks.0.ff_or_moe,6,0.3576,0.2601,"G, ath, case, after, ster, wrote, speed, machine, box, Ric, Muslim, Francisco, Millennium, deny, indicated, Opera, popularity, Designed, jaw, comment"
blocks.0.ff_or_moe,7,0.4177,0.2394,"ig, od, Edward, just, market, element, ward, tap, soul, falls, lived, come, operate, cin, cycl, crosses, Together, attendance, encounter, atmospheric"
blocks.0.ff_or_moe,8,0.2593,0.2604,"C, had, Hall, male, services, promoted, clean, And, incorporated, hard, targets, female, Diet, ashore, Base, fulfilled, across, T, pair, feature"
blocks.0.ff_or_moe,9,0.2417,0.3127,"u, second, third, Blue, fifth, fourth, most, mixed, o, sixth, p, highest, number, Europe, seventh, ek, liquid, property, bo, ted"
blocks.0.ff_or_moe,10,0.3163,0.2721,"in, et, ep, Por, these, rad, Sn, Ha, ene, aj, risk, ru, ister, Minister, ati, President, ctor, Friend, lyn, tos"
blocks.0.ff_or_moe,11,0.1272,0.3535,"the, successful, The, CS, Operation, mere, Mic, those, these, his, this, Stefan, their, both, a, some, an, its, several, certain"
blocks.0.ff_or_moe,12,0.3024,0.2759,"Te, é, pe, bro, eastern, far, crew, western, use, Mount, Rep, Arch, Ok, existing, holds, old, Texas, highway, Mind, issue"
blocks.0.ff_or_moe,13,0.3834,0.2708,"."", Vis, ""., Down, inside, bed, played, ahead, outside, above, oms, below, shipped, vote, Marine, resigned, bent, ..."", manned, talks"
blocks.0.ff_or_moe,14,0.4261,0.2430,"country, performance, Phil, ind, Ay, entry, Manchester, widely, studied, Liverpool, Randy, icon, assistant, pool, hist, lon, intermediate, closely, factor, individuals"
blocks.0.ff_or_moe,15,0.3933,0.2843,"cr, Joe, traditional, Bird, Kir, char, Bab, strong, complete, iron, sat, Fu, Tul, Miss, cup, Here, identified, powerful, Spider, kept"
blocks.0.ff_or_moe,16,0.2103,0.2783,"ge, built, most, big, held, Saint, Dev, pat, place, many, heavily, Cole, bearing, control, much, quad, more, established, sustained, approved"
blocks.0.ff_or_moe,17,0.3081,0.2522,"Pr, gr, one, contract, ren, Duke, á, Cand, domestic, Bond, management, mill, southern, energy, begins, Cleveland, rival, usually, perfect, Robert"
blocks.0.ff_or_moe,18,0.3721,0.2746,"put, dark, team, hal, Mir, defense, 3, sup, represented, qualified, Sem, Tech, Welsh, coach, Sap, jam, fighter, placing, defence, extend"
blocks.0.ff_or_moe,19,0.4479,0.2365,",, mi, Island, Bridge, lake, mm, yd, Ridge, lb, °, cm, documented, sulfur, ensis, hp, turbines, !,, kW, Hz, amidst"
blocks.0.ff_or_moe,20,0.3121,0.2539,"tr, Gl, Sw, Rob, out, living, script, peace, Florida, st, th, tim, offers, guard, News, Lak, ], Ferr, Mull, ida"
blocks.0.ff_or_moe,21,0.2532,0.2713,"dr, all, pre, Hell, fell, hy, combat, ont, ir, Hong, weak, sense, one, together, fix, occur, battle, significantly, ease, amas"
blocks.0.ff_or_moe,22,0.3812,0.2712,"school, line, war, word, process, size, DNA, attacks, Tall, attack, mob, Est, squad, Barnes, Want, Czech, grant, educational, strike, Commissioner"
blocks.0.ff_or_moe,23,0.2997,0.2433,"George, life, also, 12, year, day, same, cost, deck, Nancy, tip, etic, pursued, Kum, spare, magnetic, carried, inspired, County, month"
blocks.0.ff_or_moe,24,0.3165,0.2712,"Gal, series, cor, Lan, Dick, section, ury, source, wild, came, total, Arab, performed, digital, fighting, divided, cover, compared, associated, affected"
blocks.0.ff_or_moe,25,0.4254,0.2442,"uk, population, app, sand, draft, origin, him, Craig, rid, Sydney, eyes, Card, spo, Digital, dep, link, tag, moving, Sag, hl"
blocks.0.ff_or_moe,26,0.4163,0.2403,"ac, along, Hol, After, Cher, Bat, media, Irish, plain, wick, attend, Tun, morning, talking, Boys, presents, purchased, uous, bubble, inflicted"
blocks.0.ff_or_moe,27,0.3652,0.2506,"Ser, national, Mike, State, gl, network, however, cond, Sum, sun, Way, away, comm, acy, ological, potential, SR, honey, pers, lip"
blocks.0.ff_or_moe,28,0.2562,0.2709,"Bar, ground, Land, Mid, over, early, shared, region, fleet, Marcus, league, oy, advance, sides, nation, prom, entire, degree, sea, naval"
blocks.0.ff_or_moe,29,0.3930,0.2661,"Me, Time, have, Hey, Barry, appointed, allow, meeting, become, ology, Following, Ling, Haz, progress, important, detailed, Among, calculated, explains, deliver"
blocks.0.ff_or_moe,30,0.3234,0.2635,"Mag, mass, cut, state, captured, min, ros, Tony, available, Mau, setting, mic, mind, Got, demo, attention, British, amin, western, Colorado"
blocks.0.ff_or_moe,31,0.2866,0.2791,"os, be, create, go, cher, lap, raise, see, Mal, goes, recommended, hem, Oscar, treat, leave, make, put, get, run, play"
blocks.0.ff_or_moe,32,0.4738,0.2690,"Tro, formation, Rag, driven, hydro, intr, anal, ms, dil, aer, lit, fashion, Cou, sur, manner, AN, fir, inde, inct, ari"
blocks.0.ff_or_moe,33,0.3412,0.2782,"David, Bo, Br, Ray, At, Vo, what, Miles, Under, Off, overall, pass, Shad, bus, Bush, Hugh, Department, esh, Bess, approached"
blocks.0.ff_or_moe,34,0.4181,0.2488,"Ac, Dar, Ball, Adam, Fort, string, Mak, Jane, Mik, Nam, Sen, black, Warner, ford, separate, Sau, Lit, Meanwhile, Sit, ott"
blocks.0.ff_or_moe,35,0.2581,0.2576,"de, Can, 17, 16, Day, red, Lev, development, Py, Leonard, standing, Union, ll, ten, ular, Far, college, catch, Heart, ines"
blocks.0.ff_or_moe,36,0.1867,0.2777,"that, ta, Fran, heard, USD, ous, ful, against, this, those, between, mph, wa, attendance, around, about, ts, both, break, defend"
blocks.0.ff_or_moe,37,0.2196,0.2710,"I, near, an, many, Empire, highly, typical, River, landing, Shah, Union, mostly, almost, Unlike, Royal, vibr, Petersburg, II, much, tightly"
