original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
206,StdMoE-B,3,0.2497,0.4215,58159,968,0.468,96.2
148,StdMoE-B,3,0.1225,0.4805,2317,559,5.070,16.1
17,StdMoE-B,3,0.4742,0.2409,1184,71,1.414,94.6
155,StdMoE-B,3,0.1528,0.4136,2967,313,3.804,31.5
56,StdMoE-B,3,0.0960,0.3676,3881,90,1.886,98.6
183,StdMoE-B,3,0.0496,0.2958,1886,94,1.873,95.8
236,StdMoE-B,3,0.1689,0.3442,4836,1258,6.309,7.8
243,StdMoE-B,3,0.3225,0.2678,1605,86,3.518,96.8
171,StdMoE-B,3,0.1654,0.3770,2166,379,4.385,16.5
226,StdMoE-B,3,0.1912,0.3772,225,48,2.770,80.0
67,StdMoE-B,3,0.3316,0.4604,1699,1115,6.808,14.1
149,StdMoE-B,3,0.1621,0.3176,2437,389,4.938,33.3
137,StdMoE-B,3,0.1793,0.3501,1194,124,2.507,90.5
156,StdMoE-B,3,0.2852,0.4473,3541,1379,6.646,11.5
13,StdMoE-B,3,0.2552,0.3987,3785,58,0.767,98.7
239,StdMoE-B,3,0.1441,0.3761,2081,601,5.812,22.9
198,StdMoE-B,3,0.2161,0.3653,788,144,3.792,85.2
117,StdMoE-B,3,0.3360,0.2986,2239,122,1.930,95.4
0,StdMoE-B,3,0.1310,0.3212,2176,126,2.507,95.8
145,StdMoE-B,3,0.3499,0.4759,2064,448,2.817,13.9
163,StdMoE-B,3,0.1151,0.3884,5231,514,3.951,18.7
66,StdMoE-B,3,0.2038,0.3113,2912,200,2.181,93.3
139,StdMoE-B,3,0.1834,0.3404,2866,250,3.455,75.6
235,StdMoE-B,3,0.2115,0.3974,3516,1481,6.835,6.8
202,StdMoE-B,3,0.2679,0.4690,1921,1198,6.776,15.9
227,StdMoE-B,3,0.6292,0.2422,2054,78,1.146,96.9
195,StdMoE-B,3,0.0810,0.3939,1506,94,2.433,95.8
182,StdMoE-B,3,0.1601,0.3982,2637,947,6.243,11.9
