expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,2175,38,was(6.63); became(6.35); came(5.80); had(4.98); went(4.95); were(4.50); began(4.31); took(3.25); is(3.10); originally(3.09); did(2.84); served(2.57); would(2.31); made(1.46); has(0.57); also(0.24); by(-0.12); The(-1.25),98.8,1.163,,,,8,past verbs,syntactic,7,past-tense verbs,syntactic,7,past tense verbs,syntactic
E001,3501,38,about(5.94); for(5.94); as(5.94); that(5.94); there(5.86); it(5.74); like(2.80); over(2.21); around(2.14); because(1.88); being(1.31); while(0.84); or(0.61); ;(0.02); which(-0.71); by(-1.81); with(-1.84),99.2,1.705,,,,8,conjunctions/prepositions,syntactic,8,function words,syntactic,5,conjunctions/prepositions,syntactic
E002,7755,10,the(4.58); The(0.04); her(-0.10); their(-0.43); his(-1.57); its(-1.62); a(-4.95),100.0,0.072,,,,9,determiners,syntactic,10,articles/determiners,syntactic,8,determiners/articles,syntactic
E003,4744,182,opposing(5.51); respective(5.51); everything(5.51); neither(5.51); subsequent(5.51); whole(5.51); multiple(5.51); separate(5.51); numerous(5.51); either(5.51); recent(5.51); additional(5.51); various(5.51); seven(5.51); particular(5.51); how(5.51); similar(5.51); different(5.51); further(5.51); every(5.51); few(5.51); next(5.51); entire(5.51); others(5.51); earlier(5.51); another(5.51); previous(5.51); those(5.51); three(5.51); some(5.51); most(5.51); any(5.51); such(5.51); many(5.51); both(5.51); several(5.51); each(5.51); six(5.51); these(5.51); all(5.51); other(5.51); their(5.51); this(5.51); two(5.51); what(5.51); five(5.51); four(5.49); first(5.49); early(5.49); much(5.48),66.3,4.185,,,,10,quantifiers/relation,syntactic,10,quantifiers/determiners,syntactic,8,determiners/quantifiers,syntactic
E004,1171,42,"emphasis(7.52); on(7.52); work(4.18); top(3.94); along(3.55); 13(3.44); "",(3.21); 1(1.61); into(1.26); with(0.55); -(-0.20); by(-0.65); as(-0.81)",97.1,0.552,,,,3,mixed/unclear,mixed,4,mixed/unclear,mixed,3,mixed/unclear,mixed
E005,1801,29,whom(6.90); whose(6.90); where(6.90); which(6.90); who(6.90); that(6.87); when(4.60); known(4.47); being(3.65); before(2.88); held(2.53); including(2.46); —(1.55); or(1.24); ;(0.56); with(-1.29),98.9,1.482,,,,9,relative pronouns,syntactic,9,relative pronouns,syntactic,7,relative pronouns,syntactic
E006,2932,113,Each(6.20); Their(6.20); Its(6.20); These(6.16); Both(6.10); This(6.09); Other(6.06); They(6.05); That(6.01); Her(5.99); Within(5.98); Some(5.97); His(5.95); It(5.95); The(5.92); After(5.91); Although(5.88); Many(5.88); There(5.83); At(5.82); Along(5.78); Upon(5.71); Four(5.67); By(5.65); In(5.65); On(5.64); One(5.61); Of(5.61); About(5.61); While(5.61); Most(5.61); When(5.58); Two(5.56); From(5.56); With(5.49); According(5.48); However(5.45); Several(5.39); For(5.39); She(5.35); As(5.33); Despite(5.30); Under(5.20); During(5.10); A(5.10); Though(5.06); Among(4.98); More(4.98); Since(4.94); Un(4.88),90.0,2.927,,,,9,capitalized starters,syntactic,9,sentence starters,syntactic,9,sentence starters,syntactic
E007,205,36,ash(10.04); L(10.04); l(8.94); anti(8.19); V(7.87); post(7.87); T(7.56); B(6.10); M(6.10); F(5.99); U(5.73); H(5.47); ing(4.39); 2(4.32),88.8,2.572,,,,6,letters/prefixes,syntactic,8,subword affixes,syntactic,6,single letters/prefixes,syntactic
E008,4932,1341,မ(5.45); shortcomings(5.45); vents(5.45); sails(5.45); Churches(5.45); 板(5.45); paratroopers(5.45); ia(5.45); ans(5.45); ence(5.45); ts(5.45); ates(5.45); ces(5.45); ings(5.45); ors(5.45); les(5.45); ens(5.45); sentiments(5.45); forwards(5.45); beams(5.45); filters(5.45); stocks(5.45); logs(5.45); offerings(5.45); masks(5.45); Abrams(5.45); onies(5.45); Trenton(5.45); travelers(5.45); hunters(5.45); suspects(5.45); minds(5.45); Graves(5.45); religions(5.45); Prague(5.45); ramps(5.45); cliffs(5.45); springs(5.45); attackers(5.45); tapes(5.45); logists(5.45); Squadrons(5.45); rones(5.45); rifles(5.45); thunderstorms(5.45); Richards(5.45); backgrounds(5.45); pits(5.45); Reviewers(5.45); consoles(5.45),7.9,6.590,,,,9,plural nouns,syntactic,3,random fragments,mixed,2,random/plural nouns,mixed
E009,3708,1159,support(5.86); care(5.86); progression(5.86); regardless(5.86); deployment(5.86); fitting(5.86); identification(5.86); capabilities(5.86); detachment(5.86); rebuilding(5.86); timing(5.86); remnant(5.86); elimination(5.86); tallest(5.86); close(5.86); direct(5.86); control(5.86); cost(5.86); mix(5.86); formation(5.86); velocity(5.86); lengths(5.86); manufacturing(5.86); census(5.86); bombardment(5.86); counts(5.86); printing(5.86); radius(5.86); consequence(5.86); demographic(5.86); comprising(5.86); acceptance(5.86); reminiscent(5.86); withdrawal(5.86); continuous(5.86); component(5.86); contribution(5.86); signature(5.86); extending(5.86); forecast(5.86); aftermath(5.86); estimates(5.86); transportation(5.86); inclusion(5.86); construction(5.86); lack(5.86); mass(5.86); forms(5.86); length(5.86); opening(5.86),12.7,6.504,,,,8,abstract nouns,semantic,5,abstract nouns,mixed,2,mixed nouns,mixed
