layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.2699,0.2727,"ig, can, make, blog, ver, access, heat, leading, audio, Rep, set, budget, shot, became, condition, bid, example, leave, think, ced"
blocks.0.ff_or_moe,1,0.3663,0.2652,"14, Al, 17, Pr, 13, Ra, End, pur, ren, nearly, Nik, Li, drop, Vic, Related, responsible, ational, Gay, Call, NC"
blocks.0.ff_or_moe,2,0.2015,0.3111,"United, their, if, like, But, write, ones, ,"", Even, part, they, them, Gary, equivalent, void, versus, lucky, They, ads, when"
blocks.0.ff_or_moe,3,0.1557,0.4270,"., .[, ;, ,, to, ."", -, —, .), .”, !, (, :, .,, ?, )., and, --, The, .’"
blocks.0.ff_or_moe,4,0.2817,0.3129,"$, video, im, good, much, range, money, £, sex, funds, large, massive, payment, loan, smart, War, battery, package, paid, Series"
blocks.0.ff_or_moe,5,0.1398,0.4633,"I, k, my, we, My, me, myself, our, you, We, Sandy, there, mine, Me, it, Our, K, of, us, You"
blocks.0.ff_or_moe,6,0.3413,0.3092,"S, O, ul, Ab, plan, Na, Pass, Dam, Last, Ca, Tu, CL, bre, Rock, ans, Ku, ach, Nick, lar, constant"
blocks.0.ff_or_moe,7,0.1874,0.4271,"the, a, this, The, their, some, its, those, that, it, an, our, any, these, his, one, each, more, what, un"
blocks.0.ff_or_moe,8,0.1033,0.3843,"t, ve, are, nit, ll, of, is, in, and, for, that, Consul, re, I, "", ,, from, with, or, m"
blocks.0.ff_or_moe,9,0.2589,0.4223,",, —, in, that, -, to, a, ., (, –, and, the, is, we, I, an, --, of, it, with"
blocks.0.ff_or_moe,10,0.4588,0.2812,"micro, PS, Sy, Lu, sm, SU, Ren, Old, EM, swe, Dev, relative, Wa, arr, Tro, ram, demon, Ric, trust, ordered"
blocks.0.ff_or_moe,11,0.2209,0.4173,"in, ins, In, is, -, of, a, to, with, on, for, (, ., as, not, during, after, at, and, under"
blocks.0.ff_or_moe,12,0.3289,0.2699,"cr, lo, popular, interested, turned, su, negative, Sur, er, percent, covered, Pal, positive, trying, fall, social, mag, ars, meg, liberal"
blocks.0.ff_or_moe,13,0.1249,0.3974,"of, Of, -, quo, and, to, ,, ., from, for, in, was, (, who, The, is, Department, had, ment, ’"
blocks.0.ff_or_moe,14,0.0960,0.4125,"one, highly, a, possible, two, another, other, more, One, of, three, some, not, four, very, growing, so, now, light, five"
blocks.0.ff_or_moe,15,0.1437,0.4158,"a, an, another, someone, some, the, any, one, something, their, more, two, what, A, as, our, to, its, part, just"
blocks.0.ff_or_moe,16,0.2541,0.4337,"to, ., ,, To, for, (, with, -, in, —, and, of, that, a, is, on, by, [, because, an"
blocks.0.ff_or_moe,17,0.2065,0.4444,"the, their, his, its, a, our, The, this, those, an, some, any, these, her, that, your, what, both, it, another"
blocks.0.ff_or_moe,18,0.3696,0.2730,"A, women, Men, fr, Bon, ac, Ky, Cu, Cont, Mos, Women, Cost, Any, Danny, By, chronic, Fi, cor, TN, collective"
blocks.0.ff_or_moe,19,0.3654,0.2674,"Sal, move, cell, pass, Bay, dil, pal, Doctor, Int, red, const, sum, dis, cy, horror, Capital, atory, individual, Exp, Bus"
blocks.0.ff_or_moe,20,0.2272,0.4325,"of, The, ., a, -, (, to, and, ,, with, is, that, It, the, “, side, for, —, was, '"
blocks.0.ff_or_moe,21,0.2381,0.4332,"s, The, -, to, ., ,, for, in, “, with, will, (, —, the, of, this, a, that, is, U"
blocks.0.ff_or_moe,22,0.2323,0.2720,"Fr, get, Bar, Pro, blood, Jim, ret, it, fer, ed, sol, Market, background, let, Front, most, got, ip, ure, Ka"
blocks.0.ff_or_moe,23,0.3163,0.2665,"22, K, 20, 23, 25, 21, 40, 8, 50, 30, 18, [, 27, 26, Du, az, Je, 7, 35, 80"
blocks.0.ff_or_moe,24,0.2271,0.4273,"to, command, ,, ., a, the, (, that, in, 10, for, 1, as, —, with, -, of, and, The, this"
blocks.0.ff_or_moe,25,0.0760,0.3667,"some, This, ard, subject, those, ff, Some, stuck, plenty, These, Very, ., a, The, to, the, an, with, sug, for"
blocks.0.ff_or_moe,26,0.2475,0.3034,"book, stock, system, school, Mon, photo, modern, Wal, party, where, community, decision, traditional, forward, lot, home, books, union, ton, child"
blocks.0.ff_or_moe,27,0.3865,0.2697,"data, field, get, table, entry, Fle, bag, liquid, intelligence, mess, Mack, license, metric, zo, simply, contest, cock, extend, window, ull"
blocks.0.ff_or_moe,28,0.3041,0.2595,"Washington, Trump, Cur, around, would, almost, root, electric, tax, sw, leader, IT, driving, Brand, pick, change, Gab, pain, cos, Bern"
blocks.0.ff_or_moe,29,0.0906,0.3462,"ing, film, ,, to, movie, ion, with, we, for, not, ., is, because, it, that, I, of, ed, news, :"
