expert_id	score	category	type
E100	3	name-suffixes	syntactic
E101	9	containing/using-verbs	syntactic
E102	2	random-nouns	mixed
E103	9	at-preposition/location	syntactic
E104	5	articles	syntactic
E105	4	suffixes/fragments	syntactic
E106	6	pronouns/adverbs	syntactic
E107	5	articles/determiners	syntactic
E108	9	subject-pronouns	syntactic
E109	9	degree-adverbs	syntactic
E110	10	ordinal-numbers	syntactic
E111	7	media/reviews	semantic
E112	5	articles/determiners	syntactic
E113	7	months/dates	semantic
E114	3	random-nouns	mixed
E115	6	punctuation/dialogue	syntactic
E116	8	between/comparison	syntactic
E117	5	articles/determiners	syntactic
E118	9	temporal-adjectives	semantic
E119	5	articles/quotes	syntactic
E120	4	military/misc-nouns	mixed
E121	5	military-titles/abbrev	mixed
E122	3	plural-nouns	mixed
E123	4	abstract-nouns	mixed
E124	8	measurement-units	syntactic
E125	9	enter/movement-verbs	semantic
E126	5	physical-objects	semantic
E127	6	to-preposition	syntactic
E128	4	units/CJK-chars	mixed
E129	9	for-preposition	syntactic
E130	9	quotation-marks	syntactic
E131	3	person-roles	mixed
E132	10	modal-verbs	syntactic
E133	7	copula/be-forms	syntactic
E134	3	mixed-adverbs/nouns	mixed
E135	5	motion-verbs	semantic
E136	6	demonstratives/articles	syntactic
E137	3	capitalized-nouns	mixed
E138	7	stative-verbs/remain	syntactic
E139	6	male-given-names	semantic
E140	5	past-participle-verbs	syntactic
E141	10	adversative-conjunctions	syntactic
E142	3	proper-noun-titles	mixed
E143	3	mixed-adjectives	mixed
E144	7	adjectives-of-quality	semantic
E145	3	proper-plural-nouns	mixed
E146	9	subordinating-conj	syntactic
E147	7	adjectives	syntactic
E148	8	geographic-places	semantic
E149	5	action-verbs	syntactic
