original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
255,SRA-B,2,0.2693,0.4186,1772,259,4.349,63.3
53,SRA-B,2,0.1632,0.3843,1989,355,4.965,42.2
65,SRA-B,2,0.3571,0.3140,2452,409,5.176,9.3
126,SRA-B,2,0.0990,0.3393,4194,1073,6.239,12.1
211,SRA-B,2,0.1660,0.2813,2765,921,6.216,13.7
212,SRA-B,2,0.4580,0.2794,3940,34,0.359,99.4
37,SRA-B,2,0.2112,0.3205,3405,64,2.050,98.8
235,SRA-B,2,0.2706,0.3139,2367,18,0.384,99.5
81,SRA-B,2,0.1014,0.3863,1380,64,1.998,97.1
136,SRA-B,2,0.1322,0.3742,3737,940,6.119,10.0
85,SRA-B,2,0.0850,0.3553,1136,177,3.309,85.7
200,SRA-B,2,0.2571,0.3601,2285,861,6.286,10.5
194,SRA-B,2,0.3033,0.3310,2485,1082,6.551,8.7
22,SRA-B,2,0.3016,0.3049,1871,47,2.515,98.3
79,SRA-B,2,0.5088,0.2784,2342,1081,6.257,14.9
233,SRA-B,2,0.3612,0.2854,2444,31,0.978,99.0
23,SRA-B,2,0.2592,0.3971,2071,163,3.976,63.1
99,SRA-B,2,0.0868,0.3868,3171,46,1.691,99.0
30,SRA-B,2,0.1596,0.4149,3040,672,5.266,15.2
169,SRA-B,2,0.1910,0.3207,3140,1282,6.709,8.4
5,SRA-B,2,0.1561,0.2923,3356,1275,6.589,7.9
102,SRA-B,2,0.4327,0.2989,909,383,5.469,37.3
205,SRA-B,2,0.2256,0.3390,2675,346,4.559,54.8
39,SRA-B,2,0.1390,0.3675,2881,496,3.663,8.4
43,SRA-B,2,0.3033,0.3395,1980,111,3.208,96.3
78,SRA-B,2,0.1269,0.3053,601,138,3.800,79.2
55,SRA-B,2,0.1819,0.3924,1122,440,5.566,32.0
60,SRA-B,2,0.3335,0.2500,621,105,3.268,86.2
26,SRA-B,2,0.3905,0.3529,2286,163,2.422,93.8
248,SRA-B,2,0.1979,0.3333,2714,736,5.824,18.8
184,SRA-B,2,0.3975,0.2486,1544,77,1.305,96.2
210,SRA-B,2,0.1133,0.2707,2565,633,5.745,12.1
20,SRA-B,2,0.5821,0.2586,1678,63,2.195,97.1
137,SRA-B,2,0.5628,0.2483,1780,19,1.026,99.5
135,SRA-B,2,0.3972,0.3296,2685,136,3.503,72.1
119,SRA-B,2,0.1674,0.4035,2134,75,0.955,97.3
108,SRA-B,2,0.3305,0.3040,2976,1356,6.808,8.8
42,SRA-B,2,0.3521,0.2553,3410,182,3.164,86.5
105,SRA-B,2,0.2497,0.3012,4125,1246,5.669,6.6
186,SRA-B,2,0.3799,0.4050,57870,31,0.201,100.0
82,SRA-B,2,0.2062,0.3013,3074,970,6.329,10.5
187,SRA-B,2,0.1224,0.3814,1357,65,2.303,97.7
240,SRA-B,2,0.1288,0.4018,4028,770,5.152,6.6
6,SRA-B,2,0.1806,0.3467,57134,150,0.206,99.8
245,SRA-B,2,0.3046,0.3216,2933,118,2.660,96.8
93,SRA-B,2,0.2196,0.3552,3300,1191,6.571,8.0
140,SRA-B,2,0.3091,0.3296,3770,1352,6.610,7.9
54,SRA-B,2,0.3820,0.3116,1783,322,3.143,70.3
222,SRA-B,2,0.6579,0.2574,216,23,1.841,94.4
156,SRA-B,2,0.2709,0.3295,2847,981,6.179,10.1
208,SRA-B,2,0.0864,0.3175,3567,152,2.745,93.8
149,SRA-B,2,0.2880,0.4532,59026,1035,0.617,0.5
13,SRA-B,2,0.0756,0.3772,4105,86,2.482,98.8
61,SRA-B,2,0.2744,0.4230,1488,670,6.075,19.3
223,SRA-B,2,0.2038,0.3606,3454,36,1.430,99.4
58,SRA-B,2,0.1771,0.3798,2882,106,2.661,97.8
141,SRA-B,2,0.1462,0.3437,3845,1001,6.178,7.5
21,SRA-B,2,0.1854,0.3801,2517,846,6.195,10.7
90,SRA-B,2,0.1331,0.3788,1365,77,2.344,96.0
47,SRA-B,2,0.4475,0.2510,2198,28,1.318,99.0
193,SRA-B,2,0.2146,0.2841,1371,116,3.772,93.8
106,SRA-B,2,0.1997,0.3220,2550,606,5.756,13.2
183,SRA-B,2,0.4436,0.2907,1634,696,5.844,26.9
199,SRA-B,2,0.3680,0.3367,2744,943,5.957,27.1
165,SRA-B,2,0.2801,0.2930,4257,1567,6.798,8.6
107,SRA-B,2,0.2700,0.4225,218,105,4.154,55.0
155,SRA-B,2,0.1242,0.3464,3925,1220,6.385,9.8
201,SRA-B,2,0.1455,0.3577,845,23,0.707,98.3
164,SRA-B,2,0.2377,0.3225,4020,1290,6.580,7.0
204,SRA-B,2,0.1840,0.3953,3183,62,0.855,98.4
104,SRA-B,2,0.1648,0.3120,947,19,0.422,98.4
0,SRA-B,2,0.2092,0.4066,3609,21,0.630,99.7
224,SRA-B,2,0.3435,0.3454,126,4,0.712,99.2
197,SRA-B,2,0.1813,0.4502,3473,1006,6.179,9.3
41,SRA-B,2,0.1937,0.4198,3121,14,0.259,99.6
175,SRA-B,2,0.3579,0.2803,1917,43,1.257,98.3
14,SRA-B,2,0.2117,0.3082,3147,1208,6.638,7.0
237,SRA-B,2,0.0965,0.3431,2899,7,0.056,99.8
101,SRA-B,2,0.3304,0.3841,886,54,2.154,96.0
76,SRA-B,2,0.1506,0.3890,2410,147,3.247,82.7
188,SRA-B,2,0.1280,0.3252,1727,46,0.773,98.1
163,SRA-B,2,0.3163,0.3730,3777,1031,6.263,9.1
115,SRA-B,2,0.3204,0.3881,4798,20,0.500,99.8
118,SRA-B,2,0.2918,0.4251,174,23,1.313,89.7
100,SRA-B,2,0.1110,0.3246,3475,579,5.256,9.4
52,SRA-B,2,0.1931,0.3253,1513,372,5.014,30.1
34,SRA-B,2,0.0941,0.3242,2994,678,5.728,10.7
232,SRA-B,2,0.2496,0.4101,3948,867,6.098,11.9
180,SRA-B,2,0.2973,0.3910,3417,639,5.464,10.9
125,SRA-B,2,0.1925,0.2893,358,107,3.480,71.2
254,SRA-B,2,0.1840,0.4101,3059,1101,6.508,8.0
243,SRA-B,2,0.1839,0.4376,2827,1007,6.444,11.5
89,SRA-B,2,0.5942,0.2511,364,8,0.842,98.6
4,SRA-B,2,0.1711,0.3346,2448,888,6.209,10.8
166,SRA-B,2,0.3068,0.3342,2733,81,1.399,97.9
