expert_id	score	category	type
E000	5	military/sports	mixed
E001	3	proper names	mixed
E002	8	naming verbs	semantic
E003	8	subword fragments	syntactic
E004	5	proper names	mixed
E005	7	punctuation	syntactic
E006	4	biography terms	mixed
E007	5	motion/context	mixed
E008	9	pronouns	syntactic
E009	4	fragments/military	mixed
E010	4	health/history	mixed
E011	7	pronouns/function	syntactic
E012	6	char fragments	syntactic
E013	7	connective words	syntactic
E014	9	sports stats	semantic
E015	2	suffix fragment	syntactic
E016	4	quotes/mixed	mixed
E017	9	adverbs	syntactic
E018	4	mixed descriptors	mixed
E019	3	names/numbers	mixed
E020	10	prepositions	syntactic
E021	8	modal auxiliaries	syntactic
E022	4	history terms	mixed
E023	7	composition terms	semantic
E024	8	temporal adverbs	semantic
E025	8	past-tense verbs	syntactic
E026	5	state/set terms	mixed
E027	7	proper names	semantic
E028	8	natural science	semantic
E029	2	single token	mixed
E030	9	prefixes	syntactic
E031	6	war terms	semantic
E032	3	names/numbers	mixed
E033	8	past-tense verbs	syntactic
E034	4	mixed tokens	mixed
E035	3	mixed/noisy	mixed
E036	7	rowing	semantic
E037	9	aux/modal verbs	syntactic
E038	9	completion verbs	semantic
E039	5	punctuation	mixed
E040	8	pronouns/relative	syntactic
E041	7	percentages	semantic
E042	10	quote punctuation	syntactic
E043	7	auxiliaries	syntactic
E044	2	random nouns	mixed
E045	6	adverbs/quantifiers	syntactic
E046	5	currency/security	semantic
E047	6	geographic entities	semantic
E048	9	function words	syntactic
E049	7	discourse adverbs	syntactic
