word,category,num_subtokens,subtokens,layer,template_id,expert_ids,primary_coherence,topk_overlap,routing_flicker,model
photosynthesis,scientific,2,photo|synthesis,0,0,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,0,"196,70",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,0,"223,60",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,0,"161,121",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,1,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,1,"196,70",0.5,0.3333333333333333,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,1,"223,60",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,1,"161,116",0.5,0.3333333333333333,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,2,"174,226",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,2,"196,70",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,2,"61,119",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,2,"161,247",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,3,"174,76",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,3,"196,70",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,3,"61,119",0.5,0.3333333333333333,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,3,"11,74",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,4,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,4,"196,231",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,4,"61,119",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,4,"11,121",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,5,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,5,"196,70",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,5,"223,60",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,5,"161,121",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,6,"174,76",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,6,"196,70",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,6,"119,67",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,6,"161,58",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,7,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,7,"196,231",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,7,"61,119",0.5,0.3333333333333333,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,7,"11,249",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,8,"174,76",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,8,"250,231",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,8,"61,119",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,8,"11,121",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,0,9,"174,76",0.5,0.14285714285714285,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,1,9,"250,70",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,2,9,"61,119",0.5,0.0,1,SRA-B
photosynthesis,scientific,2,photo|synthesis,3,9,"11,58",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,0,"139,21",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,0,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,0,"61,233",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,0,"145,111",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,1,"139,57",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,1,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,1,"61,161",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,1,"145,152",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,2,"56,57",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,2,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,2,"61,67",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,2,"147,111",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,3,"139,76",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,3,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,3,"61,67",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,3,"147,152",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,4,"139,26",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,4,"87,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,4,"61,67",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,4,"147,43",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,5,"139,21",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,5,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,5,"61,233",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,5,"145,111",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,6,"139,57",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,6,"209,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,6,"61,67",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,6,"147,58",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,7,"139,21",0.5,0.14285714285714285,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,7,"87,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,7,"61,67",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,3,7,"122,249",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,0,8,"139,21",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,1,8,"87,176",0.5,0.0,1,SRA-B
mitochondria,scientific,2,mitochond|ria,2,8,"113,67",0.5,0.0,1,SRA-B
