expert_id	score	category	type
E200	9	music	semantic
E201	5	BPE_suffixes_mixed	mixed
E202	5	adverbs_mixed	mixed
E203	8	temporal_boundaries	semantic
E204	2	BPE_fragments	mixed
E205	4	mixed/actions	mixed
E206	1	random	mixed
E207	7	past_participle_verbs	syntactic
E208	5	function_words	syntactic
E209	2	random	mixed
E210	4	mixed/verbs	mixed
E211	8	quantity_expressions	semantic
E212	4	ordinal_adjectives	mixed
E213	7	determiners/articles	syntactic
E214	5	determiners	syntactic
E215	4	mixed/state_time	mixed
E216	3	function_words	mixed
E217	1	padding_token	mixed
E218	8	subordinating_conjunctions	syntactic
E219	5	past_tense_verbs	syntactic
E220	8	three_digit_numbers	syntactic
E221	3	BPE_fragments	mixed
E222	4	BPE_fragments	mixed
E223	6	prepositions	syntactic
E224	4	determiners	syntactic
E225	2	single_preposition	syntactic
E226	5	question_narrative	mixed
E227	4	prepositions_mixed	syntactic
E228	4	determiners_mixed	mixed
E229	6	ability/modal	syntactic
E230	5	media/games	semantic
E231	6	auxiliary_verbs	syntactic
E232	8	third_person_verbs	syntactic
E233	5	past_tense_verbs	syntactic
E234	8	single_letters	syntactic
E235	5	temporal_adverbs	mixed
E236	8	war/campaign	semantic
E237	7	monetary/value	semantic
E238	9	competition/games	semantic
E239	1	single_letter	mixed
E240	4	past_tense_verbs	mixed
E241	5	capital_letters	syntactic
E242	8	rivers/geography	semantic
E243	3	comma	syntactic
E244	8	music	semantic
E245	7	winning/competition	semantic
E246	8	naval/military	semantic
E247	3	punctuation_mixed	syntactic
E248	5	places/infrastructure	semantic
E249	3	mixed/function_words	mixed
