expert_id	score	category	type
E150	9	possessive_pronouns	syntactic
E151	3	names/mixed	mixed
E152	1	BPE_fragments	mixed
E153	7	abstract_nouns	semantic
E154	8	communication_verbs	semantic
E155	7	action_verbs	syntactic
E156	5	gerund_verbs	syntactic
E157	8	quotation_marks	syntactic
E158	5	punctuation/verbs	mixed
E159	7	ordinal_adjectives	syntactic
E160	1	BPE_fragments	mixed
E161	6	passive/status	syntactic
E162	6	environmental_adj	semantic
E163	10	units_of_measurement	semantic
E164	9	temporal_prepositions	syntactic
E165	4	mixed/unclear	mixed
E166	10	sentence_endings	syntactic
E167	3	mixed/unclear	mixed
E168	2	name_fragments	mixed
E169	4	dates/punctuation	mixed
E170	7	speech_act_verbs	semantic
E171	8	preposition_to	syntactic
E172	7	creative_works	semantic
E173	5	function_words	syntactic
E174	9	perfect_tense	syntactic
E175	5	determiners	syntactic
E176	3	mixed_proper_nouns	mixed
E177	1	BPE_fragments	mixed
E178	5	punctuation/pronouns	syntactic
E179	8	cardinal_directions	semantic
E180	9	sentence_endings	syntactic
E181	8	geography/transport	semantic
E182	3	mixed/unclear	mixed
E183	9	inclusion_verbs	semantic
E184	8	proximity/reaching	semantic
E185	7	inclusion_verbs	semantic
E186	8	spatial_prepositions	syntactic
E187	7	degree_adjectives	syntactic
E188	5	mixed/unclear	mixed
E189	5	articles/determiners	syntactic
E190	9	first_names	semantic
E191	6	currency/quantities	syntactic
E192	3	mixed/unclear	mixed
E193	7	adverbs/passive	syntactic
E194	7	possessive_determiners	syntactic
E195	8	passive_adverbs	syntactic
E196	9	sports_statistics	semantic
E197	1	insufficient_data	mixed
E198	1	name_fragments	mixed
E199	8	preposition_on	syntactic
