expert_id	score	category	type
E150	4	prepositions	syntactic
E151	3	mixed/random	mixed
E152	4	proper_names	semantic
E153	6	determiners/possessives	syntactic
E154	1	random/rare_tokens	mixed
E155	7	business/institutional	semantic
E156	5	proper_nouns/titles	mixed
E157	7	arts/publishing	semantic
E158	3	numbers_mixed	mixed
E159	5	narrative_nouns	semantic
E160	4	plural_nouns_mixed	mixed
E161	9	copular/stative_verbs	syntactic
E162	4	BPE_fragments	mixed
E163	2	single_preposition	syntactic
E164	7	gerunds/prepositions	syntactic
E165	5	determiners	syntactic
E166	4	organizations_mixed	mixed
E167	8	sentence_endings	syntactic
E168	4	comma/punctuation	syntactic
E169	8	description_verbs	semantic
E170	3	function_words	mixed
E171	6	quotation_marks	syntactic
E172	6	plural_verbs	syntactic
E173	4	BPE_onsets	syntactic
E174	8	three_digit_numbers	syntactic
E175	4	sports_mixed	mixed
E176	4	mixed/proper_nouns	mixed
E177	3	function_words	mixed
E178	3	BPE_suffixes_mixed	mixed
E179	4	person_related	semantic
E180	8	meeting_verbs	semantic
E181	1	random	mixed
E182	5	person_suffixes	mixed
E183	3	mixed/random	mixed
E184	10	feminine_gender	semantic
E185	8	complex_punctuation	syntactic
E186	5	quantifiers_mixed	mixed
E187	7	reflexive/directional	syntactic
E188	2	single_preposition	syntactic
E189	2	BPE_fragments	mixed
E190	8	opening/closing	semantic
E191	2	random	mixed
E192	4	sentence_starters	syntactic
E193	9	number_words	syntactic
E194	1	random	mixed
E195	6	togetherness	semantic
E196	6	music/quotation	mixed
E197	7	determiners/pronouns	syntactic
E198	5	quotation_marks	syntactic
E199	2	single_letters	mixed
