expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,4457,22,the(4.56); awarded(4.33); its(1.17); him(1.14); their(0.37); a(-0.31); this(-0.76); his(-1.77); The(-3.28),99.7,0.153,,,,3,pronouns/articles,syntactic,2,mixed/unclear,mixed,4,determiners/articles,syntactic
E001,3837,623,forces(5.81); aircraft(5.81); contingent(5.81); gunfire(5.81); AIF(5.81); Divisions(5.81); Offensive(5.81); decks(5.81); barrage(5.81); RAR(5.81); float(5.81); gunpowder(5.81); parachute(5.81); Squadrons(5.81); Rifles(5.81); rifles(5.81); Raiders(5.81); airfield(5.81); missile(5.81); rifle(5.81); brigades(5.81); helicopters(5.81); detachment(5.81); depot(5.81); frigates(5.81); platoon(5.81); perimeter(5.81); transports(5.81); trenches(5.81); troops(5.81); army(5.81); fleet(5.81); Squadron(5.81); bombardment(5.81); Marines(5.81); defenders(5.81); engineers(5.81); helicopter(5.81); submarines(5.81); regiments(5.81); scout(5.81); sailors(5.81); frigate(5.81); patrols(5.81); transport(5.81); Infantry(5.81); squadron(5.81); Battalion(5.81); torpedo(5.81); vessel(5.81),18.6,5.601,,,,10,military/naval,semantic,10,military,semantic,9,military/naval,semantic
E002,2818,13,to(6.14); about(1.45); into(1.40); for(-1.48); with(-1.52),99.7,0.082,,,,9,prepositions,syntactic,8,prepositions,syntactic,5,to preposition,syntactic
E003,2671,841,meets(6.33); ran(6.33); looks(6.33); rows(6.33); miss(6.33); rik(6.33); ust(6.33); hears(6.33); stands(6.33); hosted(6.33); bear(6.33); sing(6.33); ens(6.33); apping(6.33); meet(6.33); clashed(6.33); oped(6.33); want(6.33); fill(6.33); abs(6.33); mel(6.33); lect(6.33); osed(6.33); bore(6.33); stit(6.33); revol(6.33); alle(6.33); ys(6.33); let(6.33); hang(6.33); read(6.33); push(6.33); rel(6.33); merge(6.33); omed(6.33); dot(6.33); elt(6.33); met(6.33); toms(6.33); operate(6.33); operates(6.33); uss(6.33); wear(6.33); run(6.29); runs(6.29); et(6.20); uck(6.20); row(6.20); ass(6.18); got(6.16),14.2,6.164,,,,5,verbs/suffixes,mixed,6,verb fragments,syntactic,4,mixed verbs/subwords,mixed
E004,430,28,nor(8.97); or(8.97); /(7.86); if(7.25); may(7.18); but(7.07); However(5.72); ly(5.46); –(5.27); public(5.23); -(0.99); and(0.90),95.6,1.886,,,,6,conjunctions,syntactic,8,conjunctions,syntactic,6,conjunctions/modals,syntactic
E005,913,154,"titled(7.88); reclassified(7.88); deemed(7.88); considering(7.88); designated(7.88); calling(7.88); renamed(7.88); entitled(7.88); calls(7.88); called(7.88); named(7.88); consider(7.88); call(7.88); considered(7.83); known(7.64); crossed(7.42); declared(7.35); appointed(7.34); meaning(7.20); USS(7.15); described(7.12); simply(6.88); numbered(6.77); listed(6.71); dedicated(6.66); like(6.61); becomes(6.42); identified(6.30); based(6.30); compared(6.15); ordered(5.78); Operation(5.75); as(5.57); cut(5.42); using(5.38); thought(5.30); saying(4.66); along(4.56); wrote(4.22); including(3.11); ""(2.98); said(2.88); him(2.84); out(2.80); about(2.75); after(1.80); for(1.61); to(0.90); at(0.47); by(0.13)",84.4,3.752,,,,8,naming/identifying,semantic,8,naming verbs,semantic,7,naming/designation verbs,syntactic
E006,3069,954,strong(6.13); remarkable(6.13); preliminary(6.13); sacred(6.13); basal(6.13); northbound(6.13); controlling(6.13); protective(6.13); extraordinary(6.13); fake(6.13); democratic(6.13); key(6.13); direct(6.13); clear(6.13); special(6.13); free(6.13); quick(6.13); proper(6.13); weak(6.13); positive(6.13); difficult(6.13); inner(6.13); southeastern(6.13); remote(6.13); legitimate(6.13); opposing(6.13); occasional(6.13); confident(6.13); sensitive(6.13); intermediate(6.13); ensuing(6.13); poor(6.13); native(6.13); specific(6.13); slow(6.13); forward(6.13); strategic(6.13); respective(6.13); blind(6.13); vital(6.13); continuous(6.13); external(6.13); valuable(6.13); distant(6.13); qualifying(6.13); recurring(6.13); ultimate(6.13); unexpected(6.13); shallow(6.13); dramatic(6.13),12.0,6.281,,,,9,adjectives,syntactic,7,adjectives,syntactic,7,attributive adjectives,syntactic
E007,4322,10,",(4.94); —(3.65); "",(3.33); –(0.52); ((0.37); ),(-0.14); ""(-2.65)",99.9,0.140,,,,10,punctuation,syntactic,10,punctuation,syntactic,6,comma/dash punctuation,syntactic
E008,822,18,an(8.03); AN(7.03); An(5.29); a(4.46); un(3.23); its(1.61); '(0.48); the(-0.19),98.7,1.011,,,,9,articles,syntactic,9,articles,syntactic,7,indefinite article,syntactic
E009,3076,480,afforded(6.13); inflicting(6.13); sparked(6.13); ensured(6.13); inflicted(6.13); undertook(6.13); keeps(6.13); prompting(6.13); couldn(6.13); discovers(6.13); requiring(6.13); underwent(6.13); offering(6.13); lacked(6.13); spotted(6.13); attained(6.13); insisted(6.13); contain(6.13); suggests(6.13); gives(6.13); receive(6.13); achieve(6.13); suggesting(6.13); earning(6.13); prompted(6.13); prevented(6.13); seeing(6.13); promote(6.13); attracted(6.13); ensure(6.13); requested(6.13); convinced(6.13); determine(6.13); obtained(6.13); providing(6.13); provides(6.13); receiving(6.13); finds(6.13); achieved(6.13); believe(6.13); granted(6.13); involve(6.13); indicated(6.13); enjoyed(6.13); showing(6.13); avoid(6.13); tells(6.13); causing(6.13); require(6.13); awarded(6.13),8.4,4.856,,,,8,action verbs,semantic,8,causation verbs,semantic,7,causative/result verbs,syntactic
