word,context_id,context,layer,expert_ids,n_tokens,tokens,primary_coherence,topk_overlap,routing_flicker,model
bank,0,The bank of the river was covered with wildflowers.,0,240,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,1,153,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,2,75,1,bank,0.0,0.0,0,SRA-B
bank,0,The bank of the river was covered with wildflowers.,3,73,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,0,240,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,1,153,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,2,75,1,bank,0.0,0.0,0,SRA-B
bank,1,The bank approved the mortgage application today.,3,73,1,bank,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,0,101,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,1,137,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,2,96,1,spring,0.0,0.0,0,SRA-B
spring,0,The spring rain brought new flowers to the garden.,3,235,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,0,101,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,1,137,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,2,96,1,spring,0.0,0.0,0,SRA-B
spring,1,The spring in the mechanism was tightly coiled.,3,235,1,spring,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,0,240,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,1,156,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,2,75,1,bat,0.0,0.0,0,SRA-B
bat,0,The bat flew silently through the dark cave.,3,12,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,0,240,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,1,189,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,2,170,1,bat,0.0,0.0,0,SRA-B
bat,1,He picked up the bat and walked to home plate.,3,94,1,bat,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,0,35,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,1,15,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,2,170,1,crane,0.0,0.0,0,SRA-B
crane,0,A crane stood motionless in the shallow water.,3,73,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,0,35,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,1,120,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,2,75,1,crane,0.0,0.0,0,SRA-B
crane,1,The construction crane lifted the heavy steel beam.,3,73,1,crane,0.0,0.0,0,SRA-B
bark,0,The bark of the ancient tree was rough and thick.,0,227,1,bark,0.0,0.0,0,SRA-B
bark,0,The bark of the ancient tree was rough and thick.,1,156,1,bark,0.0,0.0,0,SRA-B
bark,0,The bark of the ancient tree was rough and thick.,2,61,1,bark,0.0,0.0,0,SRA-B
bark,0,The bark of the ancient tree was rough and thick.,3,25,1,bark,0.0,0.0,0,SRA-B
bark,1,We could hear the bark of the dog from outside.,0,59,1,bark,0.0,0.0,0,SRA-B
bark,1,We could hear the bark of the dog from outside.,1,69,1,bark,0.0,0.0,0,SRA-B
bark,1,We could hear the bark of the dog from outside.,2,72,1,bark,0.0,0.0,0,SRA-B
bark,1,We could hear the bark of the dog from outside.,3,12,1,bark,0.0,0.0,0,SRA-B
match,0,She lit a match to start the campfire.,0,153,1,match,0.0,0.0,0,SRA-B
match,0,She lit a match to start the campfire.,1,189,1,match,0.0,0.0,0,SRA-B
match,0,She lit a match to start the campfire.,2,57,1,match,0.0,0.0,0,SRA-B
match,0,She lit a match to start the campfire.,3,200,1,match,0.0,0.0,0,SRA-B
match,1,The championship match was watched by millions.,0,234,1,match,0.0,0.0,0,SRA-B
match,1,The championship match was watched by millions.,1,189,1,match,0.0,0.0,0,SRA-B
match,1,The championship match was watched by millions.,2,75,1,match,0.0,0.0,0,SRA-B
match,1,The championship match was watched by millions.,3,47,1,match,0.0,0.0,0,SRA-B
pitch,0,The pitch of the violin was perfectly tuned.,0,234,1,pitch,0.0,0.0,0,SRA-B
pitch,0,The pitch of the violin was perfectly tuned.,1,206,1,pitch,0.0,0.0,0,SRA-B
pitch,0,The pitch of the violin was perfectly tuned.,2,75,1,pitch,0.0,0.0,0,SRA-B
