expert_id	score	category	type
E000	2	mixed/unclear	mixed
E001	7	politics/government	semantic
E002	9	modal_verbs	syntactic
E003	3	abstract_concepts	mixed
E004	9	prepositions/spatial	syntactic
E005	3	mixed/unclear	mixed
E006	9	male_first_names	semantic
E007	7	prepositions/conjunctions	syntactic
E008	5	geography	semantic
E009	2	mixed/unclear	mixed
E010	3	proper_nouns/orgs	mixed
E011	2	mixed/unclear	mixed
E012	2	proper_nouns	mixed
E013	6	surnames/suffixes	semantic
E014	8	critics/reviews	semantic
E015	3	diacritics/fragments	syntactic
E016	7	titles/roles	semantic
E017	7	action_verbs	syntactic
E018	5	abstract_nouns	semantic
E019	7	adverbs	syntactic
E020	1	padding	mixed
E021	7	movement/path	semantic
E022	5	military/political	semantic
E023	7	sports/competition	semantic
E024	3	mixed/unclear	mixed
E025	8	prepositions/spatial	syntactic
E026	8	hyphens/prefixes	syntactic
E027	3	mixed/unclear	mixed
E028	5	titles/military	semantic
E029	9	spatial_prepositions	syntactic
E030	9	sentence_endings	syntactic
E031	5	TV_characters	semantic
E032	5	determiners/adjectives	syntactic
E033	6	-ing_verbs/actions	syntactic
E034	10	sentence_endings	syntactic
E035	9	past_tense_verbs	syntactic
E036	7	biology/species	semantic
E037	8	negative_actions	semantic
E038	6	hardship/endurance	semantic
E039	4	articles/determiners	syntactic
E040	3	mixed/unclear	mixed
E041	9	punctuation	syntactic
E042	4	foreign_fragments	syntactic
E043	5	name_prefixes	syntactic
E044	5	materials/descriptors	mixed
E045	8	modal/discourse	syntactic
E046	9	punctuation	syntactic
E047	7	dates/years	syntactic
E048	2	mixed/unclear	mixed
E049	1	function_word	syntactic
