layer,expert_id,tokens
blocks.0.ff_or_moe,0,"member, prowess, size, attendees, Finn, meeting, head, awards, Award, asp"
blocks.0.ff_or_moe,1,"min, Mo, ones, Indian, established, possible, D, MC, T, P"
blocks.0.ff_or_moe,2,"nat, points, failed, gest, alk, conduct, anth, Springfield, react, Carter"
blocks.0.ff_or_moe,3,"Chief, OT, declared, ,"", rank, Anthony, line, IA, sub, disqualified"
blocks.0.ff_or_moe,4,"expect, ene, ow, intense, nik, sparked, secure, ite, trigger, ope"
blocks.0.ff_or_moe,5,"utt, fel, Mel, Wür, examples, Pen, openly, ),, agents, bur"
blocks.0.ff_or_moe,6,"regular, permit, attack, graduate, ished, ce, attacks, fully, enlist, improvement"
blocks.0.ff_or_moe,7,"National, did, lack, very, quick, down, high, unable, near, wide"
blocks.0.ff_or_moe,8,"real, island, because, after, fort, Miami, complete, over, course, experience"
blocks.0.ff_or_moe,9,"light, its, terms, U, his, "", style, full, parts, San"
blocks.0.ff_or_moe,10,"In, season, beginning, estate, dedicated, starting, bearing, yard, "", circulation"
blocks.0.ff_or_moe,11,"paid, register, Burn, hospital, career, survey, Bra, fail, Plant, catches"
blocks.0.ff_or_moe,12,"mod, Evans, form, Han, Gang, society, Char, poster, rock, water"
blocks.0.ff_or_moe,13,"Tr, fan, careers, audience, crowd, room, semi, each, brigade, Carol"
blocks.0.ff_or_moe,14,"dark, kowski, Sanders, blank, ips, provisions, Pas, Number, Cyrus, deep"
blocks.0.ff_or_moe,15,"struggle, Company, Hy, attempted, Ken, exclusive, ug, astro, Good, ingen"
blocks.0.ff_or_moe,16,"vi, Sat, di, 50, spec, direct, music, pro, U, pre"
blocks.0.ff_or_moe,17,"oz, mand, disaster, Cyclone, scholar, endorse, arri, expect, thal, DV"
blocks.0.ff_or_moe,18,"new, G, La, back, pet, la, head, Pan, M, mouth"
blocks.0.ff_or_moe,19,"whether, prison, based, including, faced, strong, reaching, closed, met, precursor"
blocks.0.ff_or_moe,20,"seen, Black, Man, best, few, mentioned, strong, Boy, used, tie"
blocks.0.ff_or_moe,21,"/;, vampire, Merry, Santa, Episcopal, Football, Newfoundland, igi, ñ, joins"
blocks.0.ff_or_moe,22,"tell, Norfolk, [, crush, sc, match, nick, turning, telling, test"
blocks.0.ff_or_moe,23,"mph, ft, class, within, secret, tor, known, sports, load, attack"
blocks.0.ff_or_moe,24,"routines, Having, Agu, Frances, sonic, gravitational, Chu, tourism, ś, wage"
