E150	the(4.59); The(-2.64)
E151	Regardless(1.87); Indeed(1.87); Afterwards(1.87); Given(1.87); Starting(1.87); Using(1.87); Yet(1.87); Consequently(1.87); Large(1.87); Until(1.87)
E152	yah(5.81); asa(5.81); agi(5.81); nan(5.81); ori(5.81); wan(5.81); fu(5.81); uk(5.81); rap(5.81); í(5.81)
E153	con(6.22); pl(6.22); pro(6.22); cl(6.22); metro(6.22); mobil(6.22); structural(6.22); phal(6.22); volcanic(6.22); upl(6.22)
E154	sheer(7.03); muzzle(7.03); slower(7.03); Large(7.03); pretty(7.03); weekly(7.03); modest(7.03); loud(7.03); elaborate(7.03); epic(7.03)
E155	the(4.57); The(1.17)
E156	shortly(6.20); relatively(6.20); slightly(6.20); negatively(6.20); yellowish(6.20); politically(6.20); explicitly(6.20); anywhere(6.20); Almost(6.20); consequently(6.20)
E157	With(6.73); with(6.72); as(6.68); alongside(5.73); As(5.03); without(4.76); well(3.79); by(3.14); have(1.31); had(-0.26)
E158	employing(5.94); alongside(5.94); involving(5.94); by(5.92); using(5.85); featuring(5.79); with(5.71); via(5.52); containing(4.72); to(4.62)
E159	inaccurate(7.30); colorful(7.30); restrained(7.30); edible(7.30); believable(7.30); stupid(7.30); catchy(7.30); disastrous(7.30); brutal(7.30); desperate(7.30)
E160	Disc(6.74); starboard(6.74); overnight(6.74); ballot(6.74); polls(6.74); Performance(6.74); Days(6.74); birthday(6.74); Sunday(6.74); noon(6.74)
E161	war(5.82); opportunities(5.82); aftermath(5.82); warfare(5.82); conquest(5.82); conflicts(5.82); wars(5.82); outcome(5.82); objectives(5.82); preparations(5.82)
E162	itself(5.95); enterprise(5.95); guitar(5.95); railroads(5.95); installations(5.95); beams(5.95); filters(5.95); stocks(5.95); conferences(5.95); offerings(5.95)
E163	anybody(6.36); extraordinary(6.36); occasional(6.36); hundreds(6.36); vast(6.36); considerable(6.36); distinct(6.36); multiple(6.36); Other(6.36); certain(6.36)
E164	Its(6.86); its(6.86); their(6.81); his(6.81); her(6.75); His(6.70); Their(6.67); Her(6.41); s(5.47); number(4.08)
E165	multiple(5.74); Each(5.74); others(5.74); some(5.74); each(5.74); these(5.74); several(5.74); those(5.74); These(5.74); various(5.74)
E166	.(5.32); ).(4.68); ".(3.08); ."(0.53)
E167	origin(6.32); sentence(6.32); Register(6.32); nickname(6.32); wars(6.32); suspension(6.32); scholarship(6.32); seal(6.32); identification(6.32); fortune(6.32)
E168	ultimate(7.85); valuable(7.85); vital(7.85); closest(7.85); executive(7.85); essential(7.85); outer(7.85); basic(7.85); additional(7.85); major(7.85)
E169	separates(6.52); bypassing(6.52); flanking(6.52); assaulted(6.52); underneath(6.52); beneath(6.52); protecting(6.52); connects(6.52); opposing(6.52); capturing(6.52)
E170	".(5.48); .(5.23); ."(5.04); ).(4.73)
