original_expert_id,model,layer,IC,EP,total_tokens_routed,unique_tokens_routed,vocab_entropy,top50_mass_pct
77,SRA-B,1,0.1830,0.4157,3409,76,2.525,98.6
168,SRA-B,1,0.3827,0.2794,637,33,2.181,96.4
69,SRA-B,1,0.2663,0.2991,3536,369,3.936,25.9
72,SRA-B,1,0.0881,0.3878,1916,165,2.813,89.5
0,SRA-B,1,0.2171,0.4037,692,109,3.458,88.6
28,SRA-B,1,0.0508,0.3761,3722,40,1.672,99.1
126,SRA-B,1,0.2496,0.3578,2858,810,6.118,12.5
178,SRA-B,1,0.2618,0.3007,144,37,2.694,77.1
153,SRA-B,1,0.5118,0.3763,1931,628,5.800,18.2
224,SRA-B,1,0.2736,0.4178,4483,46,0.725,99.3
54,SRA-B,1,0.1056,0.3746,2637,14,0.158,99.5
85,SRA-B,1,0.2758,0.3032,2691,873,6.227,10.5
55,SRA-B,1,0.3556,0.0000,3725,384,4.930,7.5
93,SRA-B,1,0.1581,0.4148,4340,52,2.347,99.5
233,SRA-B,1,0.1908,0.3485,3368,170,2.540,86.4
4,SRA-B,1,0.1831,0.4064,616,85,3.161,89.4
189,SRA-B,1,0.1604,0.4299,1066,74,2.329,93.9
57,SRA-B,1,0.2991,0.2996,2620,537,5.556,9.5
184,SRA-B,1,0.2201,0.4345,2336,147,3.776,84.8
20,SRA-B,1,0.2444,0.3858,14841,24,0.741,99.9
70,SRA-B,1,0.4310,0.3052,3582,1554,6.905,10.9
129,SRA-B,1,0.2841,0.4565,3329,915,6.145,16.3
223,SRA-B,1,0.0506,0.3805,752,215,4.685,63.4
179,SRA-B,1,0.2910,0.3235,3261,880,6.147,8.9
82,SRA-B,1,0.2578,0.4454,2812,429,5.057,9.8
213,SRA-B,1,0.2322,0.3024,13,12,2.458,100.0
169,SRA-B,1,0.1142,0.3575,4311,76,2.345,99.1
142,SRA-B,1,0.2024,0.3442,3811,1207,6.408,8.0
170,SRA-B,1,0.3396,0.3690,4102,857,5.608,6.8
212,SRA-B,1,0.3547,0.3089,5636,1302,6.473,5.4
252,SRA-B,1,0.2281,0.3206,1414,194,3.040,80.6
103,SRA-B,1,0.1321,0.3644,1608,56,1.176,96.7
209,SRA-B,1,0.5561,0.2277,3589,1531,6.730,9.5
12,SRA-B,1,0.1482,0.4367,663,147,3.645,79.6
19,SRA-B,1,0.3258,0.3894,4197,850,6.009,14.0
133,SRA-B,1,0.1623,0.4164,1359,34,0.981,98.1
61,SRA-B,1,0.1338,0.4006,2930,40,0.552,99.3
202,SRA-B,1,0.1480,0.3075,3051,29,1.206,99.4
105,SRA-B,1,0.2303,0.4320,2695,31,0.760,99.3
43,SRA-B,1,0.1611,0.3770,3978,28,1.881,99.8
65,SRA-B,1,0.1549,0.3616,859,28,1.513,97.9
161,SRA-B,1,0.0846,0.4085,4882,1226,6.400,11.3
214,SRA-B,1,0.1246,0.2812,2938,1027,6.278,11.0
141,SRA-B,1,0.1801,0.4340,5111,64,2.291,99.3
99,SRA-B,1,0.2278,0.3452,4049,22,0.555,99.6
112,SRA-B,1,0.1683,0.3980,3751,4,0.020,99.9
92,SRA-B,1,0.1961,0.3456,694,178,4.416,69.5
243,SRA-B,1,0.1167,0.2941,1307,524,5.729,28.8
15,SRA-B,1,0.2881,0.3655,1168,249,4.569,57.5
83,SRA-B,1,0.2335,0.4857,3928,588,5.592,11.9
73,SRA-B,1,0.3544,0.2853,3742,812,5.759,17.6
150,SRA-B,1,0.1000,0.3069,777,173,3.946,70.3
36,SRA-B,1,0.1476,0.3274,312,24,1.789,93.3
247,SRA-B,1,0.3125,0.3357,5541,1211,6.401,11.7
22,SRA-B,1,0.2326,0.3045,5202,6,0.182,99.9
130,SRA-B,1,0.4566,0.3389,2441,840,6.060,11.3
229,SRA-B,1,0.0799,0.3359,1513,166,2.498,89.8
23,SRA-B,1,0.1699,0.3104,1002,146,3.847,76.4
147,SRA-B,1,0.3164,0.3664,3312,879,6.174,13.9
79,SRA-B,1,0.1609,0.3164,2846,198,2.714,80.9
8,SRA-B,1,0.1566,0.3388,603,180,4.586,70.1
253,SRA-B,1,0.1282,0.3978,1977,11,0.102,99.5
51,SRA-B,1,0.2395,0.3166,2939,1231,6.709,9.7
49,SRA-B,1,0.1796,0.4253,4434,12,0.324,99.9
74,SRA-B,1,0.4302,0.4076,2369,496,5.415,10.0
159,SRA-B,1,0.3235,0.3176,2448,32,1.864,99.3
117,SRA-B,1,0.3138,0.4001,3019,820,6.140,14.2
35,SRA-B,1,0.0755,0.2893,1350,4,0.137,99.8
227,SRA-B,1,0.3429,0.3098,4129,1102,6.257,10.7
236,SRA-B,1,0.1310,0.3594,729,54,2.479,94.9
42,SRA-B,1,0.1373,0.3189,6636,13,0.097,99.9
230,SRA-B,1,0.3130,0.3637,3087,729,5.862,13.0
40,SRA-B,1,0.0917,0.3766,141,20,1.298,85.8
116,SRA-B,1,0.0761,0.3447,2409,630,5.724,18.3
31,SRA-B,1,0.2181,0.3987,2524,85,3.243,96.0
27,SRA-B,1,0.1580,0.2881,5,5,1.609,100.0
17,SRA-B,1,0.2087,0.3627,2486,171,3.932,79.6
47,SRA-B,1,0.1381,0.3690,1149,73,2.100,95.1
119,SRA-B,1,0.2338,0.4287,2671,561,5.389,28.8
215,SRA-B,1,0.0967,0.3818,2547,5,0.025,99.9
175,SRA-B,1,0.0818,0.3607,2203,53,1.558,98.5
204,SRA-B,1,0.3110,0.3998,2047,333,4.780,46.5
241,SRA-B,1,0.1623,0.4072,3668,5,0.071,99.9
182,SRA-B,1,0.1712,0.4344,4696,67,2.709,99.3
134,SRA-B,1,0.4754,0.2575,889,224,4.008,76.2
160,SRA-B,1,0.0822,0.3194,3090,1276,6.710,6.5
6,SRA-B,1,0.5293,0.3454,1465,579,5.784,26.3
195,SRA-B,1,0.1950,0.4295,808,22,0.709,97.2
157,SRA-B,1,0.4757,0.4274,2437,840,6.259,10.2
191,SRA-B,1,0.3815,0.2765,1134,30,1.781,98.6
144,SRA-B,1,0.2648,0.3169,14656,147,0.819,98.9
25,SRA-B,1,0.1238,0.3984,2155,94,3.336,94.4
250,SRA-B,1,0.2664,0.2880,1576,751,6.316,16.4
220,SRA-B,1,0.0896,0.3217,1987,37,0.847,98.6
115,SRA-B,1,0.0672,0.2825,4542,1266,6.576,6.7
146,SRA-B,1,0.3206,0.3878,2177,713,6.051,16.9
38,SRA-B,1,0.1782,0.4119,3212,14,0.333,99.8
228,SRA-B,1,0.3862,0.2679,3789,1435,6.672,10.2
78,SRA-B,1,0.1574,0.4030,2628,41,0.713,99.2
9,SRA-B,1,0.4026,0.2782,3564,1335,6.637,8.8
