layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.1929,0.3896,"was, were, had, would, L, became, also, first, came, in, and, ', for, did, to, the, be, ,, from, is"
blocks.0.ff_or_moe,1,0.0880,0.3042,"v, pan, f, b, k, K, c, man, m, T, re, s, Ch, R, w, over, Per, de, the, h"
blocks.0.ff_or_moe,2,0.2780,0.4542,";, ., ,, and, with, to, (, —, as, in, but, :, for, on, by, while, during, ."", of, when"
blocks.0.ff_or_moe,3,0.2798,0.3213,"became, saw, gave, having, proved, becoming, except, between, becomes, thought, when, included, ("", gives, contained, includes, believed, said, include, tells"
blocks.0.ff_or_moe,4,0.3073,0.3986,"was, had, were, has, have, is, would, are, did, may, could, became, can, began, went, might, will, took, does, came"
blocks.0.ff_or_moe,5,0.1908,0.3281,"L, air, and, m, M, G, "", N, D, A, S, Ch, T, H, in, E, R, B, Le, d"
blocks.0.ff_or_moe,6,0.7451,0.2178,"modernized, bankrupt, Rankings, contaminated, chool, livion, Rifle, enbach, Kombat, Cinquemani, preser, imens, endangered, salvaged, jection, recipient, unlocked, Encyclopedia, cured, harto"
blocks.0.ff_or_moe,7,0.2886,0.2807,"cycl, population, antic, traffic, lived, sea, river, rain, north, rat, Township, side, Street, climate, Dam, development, stream, rock, state, town"
blocks.0.ff_or_moe,8,0.7028,0.2084,"fills, strikeouts, contaminated, engraved, salvaged, Baba, endangered, particip, Museum, intends, stuffed, colonel, Slovak, withstand, genome, ineas, Bloc, retailers, declines, chool"
blocks.0.ff_or_moe,9,0.7312,0.2308,"withstand, contaminated, chool, salvaged, modernized, abase, Cô, confiscated, linger, disorganized, diale, staffed, ivorous, renovated, skyscrap, eroded, grunge, Liber, unct, retailers"
blocks.0.ff_or_moe,10,0.1449,0.3305,"par, ep, et, ru, al, i, ar, o, President, ist, de, en, fer, le, Ha, re, u, ha, k, op"
blocks.0.ff_or_moe,11,0.2040,0.3978,"but, by, as, that, which, who, when, while, with, and, because, where, to, although, after, since, during, before, whose, due"
blocks.0.ff_or_moe,12,0.1579,0.3661,"official, original, first, other, second, new, old, third, existing, fourth, older, four, times, three, latter, former, previous, common, European, five"
blocks.0.ff_or_moe,13,0.3698,0.3342,"."", ""., [, .'"", "",, '."", ,"", "")., '""., "";, )""., Three, Mr, )."", On, ..., A, !"", ..."", Su"
blocks.0.ff_or_moe,14,0.2830,0.4026,"later, nor, eventually, bl, subsequently, ), then, ultimately, ),, Jr, otherwise, earlier, thereafter, initially, until, finally, ""), hence, soon, literally"
blocks.0.ff_or_moe,15,0.1183,0.3470,"No, ., M, A, Ar, and, C, Dr, a, the, Le, ,, Ch, The, One, v, (, for, war, L"
blocks.0.ff_or_moe,16,0.0488,0.3044,"held, ge, Saint, built, place, San, most, G, d, L, pro, St, the, le, c, K, city, holding, Th, and"
blocks.0.ff_or_moe,17,0.7338,0.2199,"withstand, contaminated, salvaged, cially, Landmark, Monitor, cheaper, Cinquemani, gett, fills, knight, crem, deserted, stuffed, Collector, imens, voter, volunte, abase, warmer"
blocks.0.ff_or_moe,18,0.7411,0.2154,"diale, cured, eney, remo, chool, iture, cheaper, Rifle, ception, ¢, jection, Rankings, Phonographic, dang, Geographic, Nobel, endangered, Valuable, avail, ineas"
blocks.0.ff_or_moe,19,0.5411,0.2877,"cu, mi, lb, yd, °, aged, sq, km2, cubic, mm, steam, torpedo, Steam, propulsion, powered, JG, cm, geschwader, hp, propeller"
blocks.0.ff_or_moe,20,0.7713,0.2061,"chool, Geographic, recipient, enbach, remo, wilder, Valuable, illance, eney, る, fabricated, adorn, iture, imens, manipulation, horrif, institut, coding, strikeouts, Caucas"
blocks.0.ff_or_moe,21,0.0464,0.3178,"pre, so, its, interested, "", non, P, (, de, fl, un, pro, the, other, Du, second, one, red, Con, limited"
blocks.0.ff_or_moe,22,0.1100,0.3440,"war, and, in, m, is, s, U, A, ', h, was, M, ,, use, now, general, at, G, art, anti"
blocks.0.ff_or_moe,23,0.3932,0.4371,"summer, spring, cost, date, year, night, winter, March, April, June, February, July, November, October, December, January, Manchester, evening, same, morning"
blocks.0.ff_or_moe,24,0.2331,0.3437,"came, continued, section, compared, continue, continues, picked, did, would, further, were, include, are, began, do, went, changed, ess, carry, included"
blocks.0.ff_or_moe,25,0.0624,0.3386,"general, General, M, A, E, public, He, new, k, other, the, major, New, use, United, U, de, s, I, terms"
