layer,expert_id,Internal_Cohesion,External_Purity,tokens
blocks.0.ff_or_moe,0,0.0672,0.3605,"', ’, Were, had, who, on, his, at, a, in, between, through, as, left, ',, held, about, Like, to, too"
blocks.0.ff_or_moe,1,0.2880,0.3179,"song, track, production, third, line, design, cover, fourth, fifth, Michael, composition, second, sixth, year, hair, week, voice, video, hop, seventh"
blocks.0.ff_or_moe,2,0.1677,0.2896,"his, after, ad, G, ran, ate, since, score, uk, Ph, senior, success, ant, captain, later, he, trees, resumed, junior, earlier"
blocks.0.ff_or_moe,3,0.2425,0.3852,"The, A, An, Con, At, As, In, After, Un, One, All, S, This, On, Two, Another, Other, G, There, Despite"
blocks.0.ff_or_moe,4,0.2877,0.4550,"the, and, in, ,, ., to, on, -, from, at, his, with, by, ', of, as, for, was, s, their"
blocks.0.ff_or_moe,5,0.4314,0.2466,"z, Storm, ack, ig, ume, ert, seasons, losses, grouped, casualties, Champions, Rams, winds, Galile, from, stein, interfered, numbers, Enix, outnumbered"
blocks.0.ff_or_moe,6,0.3637,0.2612,"Sch, Di, Mag, development, Jon, Mill, force, cell, min, LA, Play, tw, Ten, mer, Cand, Jam, press, fruit, arr, Kol"
blocks.0.ff_or_moe,7,0.5266,0.2611,"Ste, Hir, Jay, Vic, Lau, Jun, Tab, Brah, Pie, Sau, Hit, Left, Ni, Nicol, Ut, carbon, cab, loc, Alfred, Dru"
blocks.0.ff_or_moe,8,0.2275,0.2560,"house, Sto, Kirk, being, hel, former, been, leg, practice, pl, so, mother, population, path, neck, Day, content, stick, subsequent, other"
blocks.0.ff_or_moe,9,0.1079,0.3792,"o, but, b, or, rather, ot, Christ, nor, instead, and, on, via, as, while, who, to, although, however, by, S"
blocks.0.ff_or_moe,10,0.2544,0.4421,"in, on, during, at, of, from, by, after, with, within, to, "", as, had, ., and, he, for, through, was"
blocks.0.ff_or_moe,11,0.1359,0.4087,",, of, the, a, -, was, in, followed, his, from, The, during, "", this, 1, –, ., before, and, side"
blocks.0.ff_or_moe,12,0.3422,0.2739,"Mur, lo, sn, ne, Es, blood, Captain, w, history, Lyn, É, cul, Call, aj, fe, continue, asked, Quint, ele, failed"
blocks.0.ff_or_moe,13,0.2773,0.2997,"album, group, court, second, tour, performance, government, series, game, broadcast, disc, review, plot, final, characters, ano, session, Edge, soundtrack, DVD"
blocks.0.ff_or_moe,14,0.1700,0.3933,""", Ryan, ', Love, for, in, and, ,, ""[, of, (, to, a, the, by, as, was, ., "",, that"
blocks.0.ff_or_moe,15,0.4145,0.2831,"Th, Tor, Sa, road, located, Fred, route, har, Dam, Sher, despite, street, Nim, crossing, moving, Cock, Isa, Cay, Shar, Hew"
blocks.0.ff_or_moe,16,0.3334,0.2759,"captured, back, imp, towards, continued, paid, often, IC, like, settled, If, Representatives, ged, Spot, Jones, voted, toward, briefly, closer, quite"
blocks.0.ff_or_moe,17,0.3051,0.2793,"developed, um, Li, written, Tal, Mit, Win, Daniel, news, piece, Bruce, rid, bear, less, Heart, fully, Ghost, bud, such, well"
blocks.0.ff_or_moe,18,0.3334,0.2713,"Lu, War, south, ep, Lang, position, art, clear, spot, PA, Representatives, Group, east, bank, meet, coming, Rum, north, Marie, excess"
blocks.0.ff_or_moe,19,0.4141,0.2995,"Bl, Sp, Ra, Pu, Lab, 300, Lam, Roger, comp, Han, Men, Fort, Lan, Gi, Hell, Bol, Cos, Ta, quick, sol"
blocks.0.ff_or_moe,20,0.1509,0.3280,"four, body, two, put, close, five, three, use, not, flight, fly, six, General, states, going, numbers, either, combat, around, feature"
blocks.0.ff_or_moe,21,0.1733,0.4138,"in, within, during, on, at, by, after, from, of, with, through, before, when, throughout, under, as, outside, among, near, resident"
blocks.0.ff_or_moe,22,0.3124,0.3780,"The, On, According, This, It, At, A, In, After, An, From, These, All, Some, For, When, Two, However, Her, Both"
blocks.0.ff_or_moe,23,0.1475,0.4437,"this, the, these, The, that, both, a, their, those, his, it, its, most, some, there, what, other, such, which, ,"
blocks.0.ff_or_moe,24,0.3907,0.2697,"ank, ill, Gl, Art, por, ret, true, UN, depth, claim, heart, dead, bit, Low, uniform, likely, agh, Bomb, arth, historian"
blocks.0.ff_or_moe,25,0.3584,0.2889,"di, Stephen, Kir, Gro, rock, Tre, tri, Cy, gh, Cher, les, Dol, met, [, Life, comb, Rub, Public, reg, adult"
blocks.0.ff_or_moe,26,0.3372,0.2750,"ag, including, covered, Sel, Gen, Bul, il, ke, story, Kel, motion, sea, Sub, Son, drive, Fair, Tall, Raw, plan, hill"
blocks.0.ff_or_moe,27,0.3685,0.2689,"recorded, released, built, completed, before, build, issued, saw, Var, Mot, broke, published, Warner, ame, formal, Let, Lamb, ically, Republic, constructed"
blocks.0.ff_or_moe,28,0.3570,0.2656,"Tim, Ke, str, Gr, trans, Brad, surface, id, op, Fin, Say, Buck, se, rad, gre, vol, End, Rip, impl, Chan"
blocks.0.ff_or_moe,29,0.0949,0.3800,",, ing, was, -, a, the, –, of, which, ian, ie, had, his, and, their, it, this, "",, —, 12"
blocks.0.ff_or_moe,30,0.3734,0.2602,"Me, against, described, Sw, caught, col, just, Song, Dean, Bath, kin, needed, hydro, stay, kick, counted, stan, Angeles, shots, describing"
blocks.0.ff_or_moe,31,0.2349,0.4369,",, of, ., to, -, the, was, a, in, and, he, she, –, his, they, on, it, with, were, that"
blocks.0.ff_or_moe,32,0.4381,0.2670,"top, Chris, Ken, Sol, Mike, Ran, Fun, Ay, Pop, Bang, Abu, Dum, Cul, Beck, Gene, converted, Matthew, Sem, initially, Deep"
